,date,open,high,low,close,volume,average,barCount
0,2023-10-06,28.41,29.52,28.41,29.32,2940673.0,29.115,17069
1,2023-10-09,28.9,29.52,28.66,29.36,1884264.0,29.197,11006
2,2023-10-10,29.64,30.35,29.45,29.84,1944028.0,30.027,12475
3,2023-10-11,29.88,30.35,29.4,29.66,1862092.0,29.708,11887
4,2023-10-12,29.8,29.8,29.0,29.43,1636205.0,29.33,10256
5,2023-10-13,29.67,29.82,28.68,28.87,2089325.0,29.031,14292
6,2023-10-16,29.23,29.67,29.05,29.65,2006438.0,29.51,12165
7,2023-10-17,29.38,30.55,29.3,30.5,2859226.0,30.255,16339
8,2023-10-18,30.12,30.23,29.67,29.9,2627604.0,29.913,15636
9,2023-10-19,29.51,29.8,28.76,28.76,3918381.0,29.25,23233
10,2023-10-20,28.72,28.95,28.15,28.37,3336343.0,28.472,19230
11,2023-10-23,28.35,29.07,28.22,28.62,4981568.0,28.788,30324
12,2023-10-24,29.0,29.2,27.29,27.37,6378172.0,27.722,34909
13,2023-10-25,27.71,28.21,27.42,27.7,4805077.0,27.723,28195
14,2023-10-26,27.71,28.34,27.64,28.0,3764661.0,28.061,23314
15,2023-10-27,28.1,28.92,27.99,28.09,4189462.0,28.384,25175
16,2023-10-30,28.37,28.59,28.0,28.33,2213699.0,28.278,12789
17,2023-10-31,28.32,28.41,27.96,28.05,2451887.0,28.115,13190
18,2023-11-01,28.14,28.35,27.68,27.97,2928701.0,27.94,16521
19,2023-11-02,28.47,29.09,28.24,29.08,2401487.0,28.724,13595
20,2023-11-03,29.6,30.36,29.52,30.15,2933324.0,30.126,15123
21,2023-11-06,30.05,30.22,29.14,29.51,2606419.0,29.47,15007
22,2023-11-07,29.36,29.45,29.06,29.35,1800414.0,29.295,11545
23,2023-11-08,29.29,29.44,29.09,29.32,2800554.0,29.305,17289
24,2023-11-09,29.51,29.56,29.05,29.15,2217392.0,29.287,11804
25,2023-11-10,29.26,29.6,29.02,29.57,1895382.0,29.401,11549
26,2023-11-13,29.48,29.73,29.26,29.46,1829005.0,29.517,11219
27,2023-11-14,30.16,30.67,29.86,30.3,2684262.0,30.385,15820
28,2023-11-15,30.17,30.3,29.65,29.76,3106858.0,29.878,18761
29,2023-11-16,29.72,29.89,28.84,28.91,3237944.0,29.001,18005
30,2023-11-17,29.29,29.89,29.1,29.88,2344464.0,29.608,14303
31,2023-11-20,29.81,29.91,29.52,29.82,1539944.0,29.799,8647
32,2023-11-21,29.69,29.8,29.36,29.47,1980111.0,29.526,11404
33,2023-11-22,29.75,29.87,29.44,29.68,1295338.0,29.668,7004
34,2023-11-24,29.78,29.94,29.63,29.83,793795.0,29.774,4526
35,2023-11-27,29.62,29.67,29.14,29.39,2686156.0,29.352,15291
36,2023-11-28,29.75,30.93,29.65,30.89,4022731.0,30.582,23323
37,2023-11-29,31.09,31.94,31.09,31.22,3286554.0,31.415,18404
38,2023-11-30,31.43,32.45,31.26,32.36,4604913.0,32.186,26257
39,2023-12-01,32.36,34.14,32.36,33.83,4346347.0,33.648,23539
40,2023-12-04,33.6,34.5,33.51,33.97,3036426.0,33.973,17751
41,2023-12-05,33.76,34.23,33.58,33.98,2321212.0,33.985,13839
42,2023-12-06,34.37,34.95,34.26,34.3,3135231.0,34.529,19145
43,2023-12-07,34.5,34.98,34.42,34.9,2776140.0,34.804,15604
44,2023-12-08,34.9,35.43,34.71,35.29,2755611.0,35.178,15801
45,2023-12-11,35.24,35.96,35.12,35.45,2928847.0,35.578,17142
46,2023-12-12,35.28,36.01,35.28,35.6,3136370.0,35.738,16628
47,2023-12-13,35.57,37.08,35.23,36.83,4885767.0,36.429,21062
48,2023-12-14,37.25,38.17,37.16,37.74,5149748.0,37.746,26709
49,2023-12-15,37.12,37.69,36.74,37.12,4625879.0,37.032,25465
50,2023-12-18,37.71,37.86,37.08,37.55,3135686.0,37.597,19211
51,2023-12-19,37.47,38.4,37.46,38.23,2370997.0,38.159,13700
52,2023-12-20,38.2,38.59,37.31,37.33,3291975.0,37.865,17579
53,2023-12-21,37.65,38.26,37.54,38.05,2486121.0,37.977,14934
54,2023-12-22,38.27,38.44,37.84,37.94,1665520.0,38.13,10489
55,2023-12-26,38.13,38.34,37.91,38.27,1071139.0,38.206,6214
56,2023-12-27,38.18,38.41,38.04,38.35,1108175.0,38.259,7149
57,2023-12-28,38.34,38.51,38.22,38.37,1203532.0,38.361,7001
58,2023-12-29,38.29,38.45,37.96,38.19,1211491.0,38.138,7741
59,2024-01-02,37.93,38.25,37.69,37.96,2728734.0,38.013,16731
60,2024-01-03,37.49,38.06,37.14,37.45,2034091.0,37.579,13187
61,2024-01-04,37.43,37.89,37.29,37.44,1447759.0,37.61,9132
62,2024-01-05,37.27,38.91,37.24,38.82,3240506.0,38.664,18100
63,2024-01-08,38.81,39.34,38.68,39.2,2520790.0,39.132,15309
64,2024-01-09,38.76,38.83,38.41,38.5,1848263.0,38.536,12253
65,2024-01-10,38.32,38.49,37.81,37.94,2740156.0,38.094,17394
66,2024-01-11,37.85,38.01,37.3,37.97,2436081.0,37.739,14603
67,2024-01-12,38.19,38.42,36.61,36.73,3485612.0,36.973,19483
68,2024-01-16,36.49,36.98,36.19,36.96,2451578.0,36.756,15368
69,2024-01-17,36.36,36.74,36.17,36.47,2577297.0,36.437,16515
70,2024-01-18,35.99,36.14,35.29,35.77,3439224.0,35.661,19346
71,2024-01-19,36.02,37.03,35.71,36.91,2940880.0,36.58,17271
72,2024-01-22,37.12,38.19,37.07,37.77,5765400.0,37.876,33022
73,2024-01-23,37.75,38.0,36.85,37.44,4379858.0,37.38,25694
74,2024-01-24,37.84,38.57,37.64,37.97,3154136.0,38.088,19686
75,2024-01-25,38.19,38.62,37.74,38.46,4056871.0,38.293,22903
76,2024-01-26,38.61,39.89,38.47,39.54,3696400.0,39.508,23423
