,date,open,high,low,close,volume,average,barCount
0,2023-10-06,31.62,35.12,31.59,34.87,503478.0,33.804,2451
1,2023-10-09,34.68,36.89,34.1,36.81,583414.0,35.944,3155
2,2023-10-10,37.85,40.27,37.1,39.53,1046744.0,39.169,4626
3,2023-10-11,40.31,42.85,40.21,41.84,1415158.0,41.623,7213
4,2023-10-12,42.06,42.74,39.86,40.68,877874.0,41.073,3819
5,2023-10-13,41.94,42.06,38.95,39.24,633165.0,40.406,2994
6,2023-10-16,39.4,44.1,39.27,43.6,706673.0,42.407,3579
7,2023-10-17,43.14,47.23,42.71,46.29,1426359.0,45.849,7362
8,2023-10-18,45.32,46.55,42.01,42.14,744038.0,43.588,3685
9,2023-10-19,42.72,44.01,42.04,42.72,536976.0,42.981,2421
10,2023-10-20,42.35,43.37,40.35,41.37,596413.0,42.011,2829
11,2023-10-23,40.69,40.75,37.86,38.64,945125.0,39.267,4846
12,2023-10-24,39.6,41.99,39.27,41.11,684832.0,40.848,3684
13,2023-10-25,40.18,40.53,37.52,37.79,500816.0,38.557,3183
14,2023-10-26,37.69,39.14,37.24,37.38,467426.0,37.888,2706
15,2023-10-27,38.38,39.0,34.37,35.35,801691.0,35.934,5096
16,2023-10-30,36.58,37.8,34.87,35.64,588973.0,35.871,3832
17,2023-10-31,35.64,36.07,33.3,34.03,657510.0,34.068,3929
18,2023-11-01,34.12,34.12,31.69,33.03,1019986.0,32.525,6497
19,2023-11-02,34.8,37.9,34.11,37.58,907324.0,36.774,5457
20,2023-11-03,38.95,39.45,36.59,36.91,883654.0,37.813,4550
21,2023-11-06,37.29,37.45,34.68,35.47,466971.0,35.599,2814
22,2023-11-07,35.43,35.59,34.38,35.15,476883.0,35.075,2759
23,2023-11-08,35.33,35.33,32.85,33.09,689360.0,33.411,4411
24,2023-11-09,33.48,33.86,31.33,31.73,867077.0,32.127,4947
25,2023-11-10,31.93,32.74,31.37,31.38,778224.0,31.71,4784
26,2023-11-13,31.43,33.93,30.6,33.17,592576.0,32.756,3482
27,2023-11-14,35.53,36.34,34.45,35.89,897842.0,35.447,4852
28,2023-11-15,36.54,39.08,36.38,37.68,809011.0,38.023,4416
29,2023-11-16,37.18,37.78,35.6,35.99,430070.0,36.207,2206
30,2023-11-17,36.59,38.18,36.12,37.2,644875.0,37.346,3043
31,2023-11-20,37.64,38.99,36.68,37.16,1174047.0,38.036,6483
32,2023-11-21,48.0,52.84,43.26,52.08,7612861.0,49.486,36697
33,2023-11-22,52.04,54.23,50.06,53.86,1622593.0,52.714,7963
34,2023-11-24,52.03,54.18,50.27,51.43,953691.0,51.641,4619
35,2023-11-27,51.0,58.73,49.05,58.19,1981157.0,55.47,8625
36,2023-11-28,57.39,59.82,53.36,53.8,1475802.0,56.128,7905
37,2023-11-29,53.8,55.93,51.25,55.32,1409092.0,54.052,7523
38,2023-11-30,54.8,55.29,52.38,52.88,767494.0,53.647,4510
39,2023-12-01,52.37,57.41,50.52,56.73,1373645.0,54.626,6299
40,2023-12-04,55.9,57.38,54.47,55.68,790514.0,56.041,3866
41,2023-12-05,55.19,55.31,52.68,54.08,676239.0,53.859,3234
42,2023-12-06,54.3,58.58,49.09,49.64,1811543.0,52.737,8432
43,2023-12-07,49.0,50.11,47.36,48.05,616320.0,48.78,2941
44,2023-12-08,47.87,51.63,47.24,50.33,697638.0,50.056,3851
45,2023-12-11,50.29,52.74,49.2,50.27,598493.0,51.097,3302
46,2023-12-12,50.0,50.54,47.75,48.97,501436.0,48.871,2666
47,2023-12-13,49.52,50.49,47.05,50.44,672722.0,48.898,3477
48,2023-12-14,52.0,54.66,48.53,50.2,1375641.0,51.342,7466
49,2023-12-15,50.24,55.66,50.24,53.47,1403169.0,53.602,6676
50,2023-12-18,53.75,57.22,52.9,57.0,1019882.0,55.643,5156
51,2023-12-19,57.9,58.28,54.56,56.36,795756.0,56.479,3997
52,2023-12-20,56.16,56.16,50.77,51.11,860313.0,53.429,4598
53,2023-12-21,52.92,53.58,51.2,53.43,615829.0,52.858,3583
54,2023-12-22,54.2,54.47,52.58,54.19,532580.0,53.77,3285
55,2023-12-26,55.11,56.28,54.11,55.95,641076.0,55.459,3756
56,2023-12-27,56.67,57.16,52.9,53.92,732296.0,54.355,4255
57,2023-12-28,53.86,54.67,52.69,53.2,406975.0,53.561,2403
58,2023-12-29,53.3,53.58,50.8,51.33,482916.0,51.681,2574
59,2024-01-02,50.86,51.85,49.06,49.69,586577.0,50.418,3371
60,2024-01-03,48.92,48.92,45.89,46.48,906599.0,46.999,5838
61,2024-01-04,46.25,47.27,44.46,45.16,842610.0,45.78,5193
62,2024-01-05,44.84,44.89,42.76,43.39,1019141.0,43.486,5468
63,2024-01-08,43.22,45.51,42.95,45.21,814699.0,44.387,3691
64,2024-01-09,44.9,46.18,42.76,43.1,741196.0,43.934,4743
65,2024-01-10,43.19,43.75,41.78,42.88,678600.0,42.566,3566
66,2024-01-11,43.0,43.1,40.86,42.74,973606.0,42.069,5321
67,2024-01-12,41.84,42.78,41.67,42.22,535366.0,42.191,2601
68,2024-01-16,41.48,42.9,40.52,41.27,684805.0,41.402,3596
69,2024-01-17,40.5,40.54,39.43,40.43,675019.0,40.035,3766
70,2024-01-18,41.0,42.17,40.27,41.78,708432.0,41.426,3888
71,2024-01-19,41.88,44.1,41.04,44.1,931583.0,42.899,4782
72,2024-01-22,44.84,46.31,44.53,45.3,895028.0,45.354,4494
73,2024-01-23,46.0,46.73,44.8,45.24,644605.0,45.71,3430
74,2024-01-24,45.5,45.68,40.96,41.01,1118321.0,42.704,5948
75,2024-01-25,41.35,42.0,40.1,40.49,821957.0,40.726,4796
76,2024-01-26,40.23,41.53,39.76,41.0,742223.0,40.716,4219
77,2024-01-29,41.15,44.09,40.86,44.07,737677.0,42.971,4147
78,2024-01-30,43.95,45.72,43.54,44.1,900111.0,44.408,5098
79,2024-01-31,43.49,45.09,42.88,43.03,750802.0,43.938,4695
80,2024-02-01,43.78,47.16,43.6,46.82,903985.0,45.544,5176
81,2024-02-02,47.18,50.58,46.6,50.45,1804671.0,49.286,11103
82,2024-02-05,52.0,52.2,48.8,49.6,2318774.0,49.944,13306
83,2024-02-06,41.26,41.91,37.28,37.91,6374735.0,38.728,28236
84,2024-02-07,39.1,41.77,37.21,39.28,3075797.0,39.207,15014
85,2024-02-08,38.78,44.49,38.58,42.99,2377600.0,42.219,12509
