,date,open,high,low,close,volume,average,barCount
0,2023-10-06,89.92,93.66,89.24,93.22,151025.0,92.61,1161
1,2023-10-09,92.29,93.8,90.87,92.98,117155.0,93.103,944
2,2023-10-10,92.98,95.16,92.66,93.57,127425.0,94.324,959
3,2023-10-11,93.45,95.47,93.45,95.19,124054.0,94.586,949
4,2023-10-12,95.46,96.74,94.74,96.38,153325.0,95.927,1205
5,2023-10-13,96.38,96.79,94.46,94.92,265348.0,95.43,2179
6,2023-10-16,95.49,97.52,95.35,97.26,162176.0,96.925,1360
7,2023-10-17,95.37,97.43,93.97,96.67,150163.0,96.41,1118
8,2023-10-18,95.08,97.12,94.97,95.69,129915.0,96.058,1050
9,2023-10-19,96.88,97.09,92.25,92.5,121711.0,94.38,1035
10,2023-10-20,92.35,92.86,90.32,90.43,125839.0,91.454,838
11,2023-10-23,89.6,90.41,86.82,86.85,98315.0,88.379,826
12,2023-10-24,88.05,88.28,85.86,86.6,69282.0,86.895,626
13,2023-10-25,85.0,85.13,81.82,82.09,162300.0,82.892,1165
14,2023-10-26,82.59,84.82,81.64,83.17,179627.0,82.921,1179
15,2023-10-27,83.71,83.87,82.49,82.77,93524.0,83.094,815
16,2023-10-30,82.37,82.92,81.05,81.96,169572.0,81.868,1447
17,2023-10-31,81.97,84.64,81.2,83.66,147132.0,83.73,1212
18,2023-11-01,82.58,82.75,73.38,80.28,762332.0,78.177,5382
19,2023-11-02,82.93,86.49,81.2,86.36,224604.0,84.845,1808
20,2023-11-03,88.02,91.52,86.47,90.33,183191.0,90.165,1387
21,2023-11-06,90.06,90.06,87.23,88.35,169054.0,88.129,1446
22,2023-11-07,88.41,89.99,88.13,89.37,94504.0,89.133,840
23,2023-11-08,89.75,91.68,88.5,88.64,128438.0,89.466,923
24,2023-11-09,89.48,91.0,87.69,88.5,566683.0,89.004,2847
25,2023-11-10,97.0,101.56,92.23,98.01,552739.0,98.694,3739
26,2023-11-13,97.18,97.18,94.29,95.45,232265.0,95.507,1770
27,2023-11-14,99.8,102.93,98.52,102.15,238474.0,101.878,1807
28,2023-11-15,102.66,105.24,101.95,104.5,252964.0,104.222,2051
29,2023-11-16,103.7,105.39,103.14,104.91,207548.0,104.568,1711
30,2023-11-17,105.83,106.7,104.22,105.68,233509.0,105.963,1495
31,2023-11-20,104.76,106.9,104.7,106.06,131332.0,105.87,937
32,2023-11-21,104.78,105.71,102.81,103.61,156596.0,103.615,1032
33,2023-11-22,104.48,106.0,103.38,104.18,165270.0,104.06,1283
34,2023-11-24,103.86,104.23,102.97,103.94,62970.0,103.669,418
35,2023-11-27,103.0,105.68,102.55,105.02,119959.0,104.878,974
36,2023-11-28,104.54,104.54,100.59,101.78,123667.0,101.768,896
37,2023-11-29,104.27,105.56,101.9,102.29,87233.0,103.412,694
38,2023-11-30,103.26,103.26,99.89,101.24,67338.0,100.826,550
39,2023-12-01,100.5,103.23,99.19,101.73,75733.0,101.635,601
40,2023-12-04,101.02,101.41,99.15,100.29,112099.0,100.277,837
41,2023-12-05,99.4,99.4,96.47,97.39,90019.0,97.609,688
42,2023-12-06,99.0,102.56,98.84,99.37,95496.0,100.324,821
43,2023-12-07,99.98,100.85,98.47,99.54,50516.0,99.736,417
44,2023-12-08,101.0,107.02,100.78,106.75,272971.0,105.216,1754
45,2023-12-11,107.03,109.17,106.69,107.54,97744.0,107.809,677
46,2023-12-12,106.76,107.93,105.81,106.96,64835.0,107.141,514
47,2023-12-13,106.61,108.9,104.21,108.2,104908.0,106.627,890
48,2023-12-14,110.0,116.23,110.0,114.56,297024.0,114.525,2083
49,2023-12-15,115.53,118.46,113.84,117.91,495183.0,116.662,3052
50,2023-12-18,117.67,119.91,115.32,118.93,206303.0,118.68,1523
51,2023-12-19,119.44,121.04,119.06,119.82,114592.0,119.82,940
52,2023-12-20,118.58,121.37,114.5,114.61,212940.0,117.566,1310
53,2023-12-21,117.46,118.23,114.81,117.77,101279.0,117.117,753
54,2023-12-22,118.07,119.72,116.91,118.03,138539.0,118.446,860
55,2023-12-26,118.6,119.67,118.06,118.88,54870.0,118.893,477
56,2023-12-27,119.13,119.66,117.42,118.47,46516.0,118.224,324
57,2023-12-28,118.11,119.26,116.82,117.09,53033.0,117.565,414
58,2023-12-29,116.94,117.29,113.85,114.08,61393.0,115.048,490
59,2024-01-02,112.27,112.75,109.69,111.0,131873.0,111.066,730
60,2024-01-03,108.56,110.64,107.5,107.64,103988.0,109.008,778
61,2024-01-04,106.01,106.13,103.57,104.41,114225.0,104.684,642
62,2024-01-05,104.67,106.27,102.65,103.68,153044.0,103.936,1260
63,2024-01-08,105.13,108.55,104.55,108.3,118364.0,107.226,520
64,2024-01-09,106.22,107.68,105.32,105.94,57624.0,106.522,443
65,2024-01-10,105.5,108.08,103.17,106.46,192441.0,106.043,925
66,2024-01-11,106.57,106.96,103.37,105.28,265884.0,105.192,919
67,2024-01-12,106.3,106.74,103.97,104.48,130196.0,105.247,651
68,2024-01-16,104.13,105.3,102.8,103.8,112886.0,104.176,845
69,2024-01-17,102.02,102.36,99.96,102.0,179197.0,101.22,1117
70,2024-01-18,104.72,105.24,103.37,105.05,148264.0,104.415,738
71,2024-01-19,106.15,108.72,104.53,108.56,165977.0,106.509,899
72,2024-01-22,109.81,113.57,109.71,112.78,154820.0,112.482,1224
73,2024-01-23,113.7,114.8,112.5,113.67,102109.0,113.973,773
74,2024-01-24,114.94,114.94,110.15,110.51,119290.0,112.118,852
75,2024-01-25,113.0,113.5,110.65,110.86,78774.0,111.5,587
76,2024-01-26,110.09,110.4,108.0,109.38,121049.0,109.334,756
77,2024-01-29,109.64,110.51,107.34,110.32,51286.0,109.167,444
78,2024-01-30,109.47,109.47,106.74,107.37,133746.0,107.415,996
79,2024-01-31,106.35,109.07,105.01,106.81,238691.0,106.788,1855
80,2024-02-01,107.33,107.92,104.7,106.78,133126.0,106.202,1029
81,2024-02-02,105.4,106.96,104.69,105.2,91641.0,105.602,681
82,2024-02-05,105.71,106.16,102.63,105.48,126901.0,104.997,957
83,2024-02-06,104.48,104.48,102.07,103.85,188822.0,103.135,869
84,2024-02-07,105.18,108.53,103.44,108.08,153654.0,107.155,1317
85,2024-02-08,108.21,111.52,108.21,110.22,245610.0,110.488,1864
86,2024-02-09,107.0,114.25,107.0,112.21,281462.0,112.17,2088
87,2024-02-12,113.16,115.85,112.11,113.68,109651.0,114.091,793
88,2024-02-13,108.88,111.09,106.6,108.14,178610.0,108.086,1497
89,2024-02-14,110.24,110.52,108.46,108.65,13178.0,109.729,93
