,date,open,high,low,close,volume,average,barCount
0,2023-10-06,16.04,16.97,16.02,16.91,2743637.0,16.646,12791
1,2023-10-09,16.17,16.95,16.02,16.82,3526961.0,16.585,14961
2,2023-10-10,16.95,17.4,16.93,17.05,3547605.0,17.111,16197
3,2023-10-11,17.2,17.56,17.11,17.28,2474340.0,17.298,10722
4,2023-10-12,17.34,17.36,16.47,16.86,2939365.0,16.946,12566
5,2023-10-13,16.76,16.83,16.23,16.5,3830151.0,16.472,13985
6,2023-10-16,16.6,17.44,16.54,17.34,4387756.0,17.166,19143
7,2023-10-17,17.1,17.93,17.02,17.55,5385281.0,17.612,26085
8,2023-10-18,17.43,17.6,16.8,16.88,3805851.0,17.067,15027
9,2023-10-19,17.02,17.16,16.63,16.65,2589336.0,16.849,11203
10,2023-10-20,16.58,16.59,15.65,15.98,4215771.0,16.04,16470
11,2023-10-23,15.66,16.14,15.39,16.05,2252171.0,15.906,10953
12,2023-10-24,16.25,16.83,16.02,16.3,3059833.0,16.37,15818
13,2023-10-25,16.12,16.26,15.31,15.41,2487578.0,15.606,11057
14,2023-10-26,15.39,15.65,15.16,15.33,2160300.0,15.35,11695
15,2023-10-27,15.66,15.78,15.28,15.32,1910356.0,15.464,11312
16,2023-10-30,15.59,15.61,15.06,15.32,2503674.0,15.282,11878
17,2023-10-31,15.36,15.86,15.23,15.63,2528743.0,15.649,12118
18,2023-11-01,15.68,15.83,15.14,15.56,3151805.0,15.515,14991
19,2023-11-02,16.07,16.16,15.13,15.15,6234901.0,15.456,24642
20,2023-11-03,15.21,16.5,15.21,16.11,4701699.0,15.95,19564
21,2023-11-06,16.19,16.4,15.32,15.48,3798249.0,15.653,16070
22,2023-11-07,15.86,16.58,15.62,15.94,4393175.0,16.023,19367
23,2023-11-08,15.95,16.13,15.57,15.64,3050805.0,15.771,13137
24,2023-11-09,15.77,15.81,15.26,15.29,2300721.0,15.505,9762
25,2023-11-10,15.19,15.7,15.12,15.68,2699632.0,15.489,11393
26,2023-11-13,15.68,16.05,15.5,16.05,2479227.0,15.912,10054
27,2023-11-14,16.72,17.22,16.64,17.13,4896642.0,16.991,19658
28,2023-11-15,17.28,17.89,17.03,17.34,4032641.0,17.39,19567
29,2023-11-16,16.99,17.0,16.41,16.83,4243839.0,16.756,18057
30,2023-11-17,16.9,17.29,16.76,17.18,2180652.0,17.093,9982
31,2023-11-20,17.16,17.65,17.16,17.41,2813062.0,17.382,13630
32,2023-11-21,17.18,17.38,16.79,17.33,3356687.0,17.181,12760
33,2023-11-22,17.51,17.75,17.22,17.49,2959066.0,17.574,12830
34,2023-11-24,17.48,17.94,17.41,17.92,1790361.0,17.804,6969
35,2023-11-27,17.74,17.9,17.64,17.77,3022216.0,17.785,13793
36,2023-11-28,17.63,17.84,17.07,17.74,2983146.0,17.57,13852
37,2023-11-29,17.89,19.21,17.89,19.09,6050457.0,18.808,26323
38,2023-11-30,19.18,19.29,18.55,19.09,3004195.0,18.898,14773
39,2023-12-01,18.97,19.85,18.97,19.83,5297402.0,19.61,23577
40,2023-12-04,19.63,20.25,19.4,20.24,9049160.0,19.872,33755
41,2023-12-05,20.4,20.43,19.65,20.0,8919033.0,19.911,36702
42,2023-12-06,22.88,24.39,22.3,23.32,21764614.0,23.528,81346
43,2023-12-07,22.91,23.5,21.87,23.42,11116678.0,22.91,52114
44,2023-12-08,22.81,24.55,22.52,24.0,9408265.0,23.844,41404
45,2023-12-11,24.0,24.89,23.84,24.51,6735831.0,24.313,31438
46,2023-12-12,24.46,26.12,24.08,25.4,8994784.0,25.574,40070
47,2023-12-13,25.43,26.39,24.76,25.91,6427761.0,25.638,30907
48,2023-12-14,26.55,27.19,25.3,25.83,8588698.0,26.207,36776
49,2023-12-15,26.24,26.96,25.87,26.36,7369123.0,26.383,34373
50,2023-12-18,26.12,27.04,26.1,26.73,4703844.0,26.782,22933
51,2023-12-19,26.82,27.65,26.75,27.48,5418314.0,27.393,24042
52,2023-12-20,27.36,27.86,26.37,26.5,5196125.0,27.051,22928
53,2023-12-21,27.06,27.57,26.79,27.56,3938905.0,27.239,19624
54,2023-12-22,27.5,27.97,27.32,27.64,3137311.0,27.677,14978
55,2023-12-26,27.64,27.94,27.5,27.86,2241056.0,27.796,10889
56,2023-12-27,27.89,27.94,27.3,27.73,4129201.0,27.564,15895
57,2023-12-28,27.8,27.89,27.35,27.88,2658113.0,27.662,13342
58,2023-12-29,27.75,27.88,27.28,27.44,2288197.0,27.503,12063
59,2024-01-02,26.51,26.55,25.08,25.87,5022480.0,25.716,26680
60,2024-01-03,25.1,25.32,23.8,23.81,7810962.0,24.389,39178
61,2024-01-04,23.79,24.14,23.38,23.5,5128056.0,23.744,27386
62,2024-01-05,23.25,23.82,23.18,23.67,4365793.0,23.48,22086
63,2024-01-08,23.7,24.1,23.39,23.46,4075011.0,23.696,18547
64,2024-01-09,23.0,24.18,22.82,24.16,8870228.0,23.615,32603
65,2024-01-10,24.29,24.79,24.11,24.53,6299681.0,24.424,24451
66,2024-01-11,24.53,24.85,24.16,24.3,4025837.0,24.445,20443
67,2024-01-12,24.26,25.56,24.2,25.33,7131808.0,25.01,27453
68,2024-01-16,25.0,25.31,24.64,24.8,3565988.0,24.966,17970
69,2024-01-17,24.35,24.56,23.37,24.53,3098800.0,24.197,18097
70,2024-01-18,25.22,25.39,24.44,24.72,3204561.0,24.759,17939
71,2024-01-19,24.89,25.07,24.33,24.84,2485115.0,24.67,12224
72,2024-01-22,27.15,27.64,25.76,26.29,7045491.0,26.461,35880
73,2024-01-23,26.55,27.21,26.3,26.55,3810410.0,26.631,20191
74,2024-01-24,26.83,27.05,25.69,25.86,3638595.0,26.352,18069
75,2024-01-25,26.22,26.4,25.42,25.76,2274753.0,25.804,12138
76,2024-01-26,25.67,26.52,25.56,26.34,2445302.0,26.161,12875
77,2024-01-29,28.04,28.31,26.93,28.18,6381894.0,27.802,28084
78,2024-01-30,28.5,28.63,27.13,27.62,4498275.0,27.736,19922
79,2024-01-31,27.26,27.69,26.71,26.8,3537886.0,27.074,18742
80,2024-02-01,27.12,27.58,26.41,27.49,3394940.0,27.07,16803
81,2024-02-02,27.33,28.3,27.04,27.55,5009080.0,27.794,24452
82,2024-02-05,27.26,27.77,26.62,27.56,2778527.0,27.335,15374
83,2024-02-06,27.6,27.8,26.53,27.46,3296588.0,27.192,19466
84,2024-02-07,28.2,28.8,28.02,28.24,4808116.0,28.369,22573
85,2024-02-08,28.14,29.3,28.12,29.04,3942812.0,28.986,22250
86,2024-02-09,30.0,30.22,29.48,29.7,4868602.0,29.947,24664
87,2024-02-12,29.53,30.32,29.31,29.7,4598889.0,29.889,18737
88,2024-02-13,28.0,29.47,26.78,28.99,5631799.0,28.755,28289
89,2024-02-14,30.06,30.76,29.65,30.29,2580689.0,30.207,14768
