,date,open,high,low,close,volume,average,barCount
0,2023-09-25,9.71,10.06,9.68,10.05,175466.0,9.923,1305
1,2023-09-26,10.03,10.09,9.81,9.92,178304.0,9.896,1409
2,2023-09-27,10.01,10.13,9.78,10.06,108815.0,10.044,832
3,2023-09-28,10.07,10.45,9.98,10.09,234138.0,10.12,1578
4,2023-09-29,10.27,10.49,10.11,10.38,398009.0,10.346,2430
5,2023-10-02,10.34,10.34,9.66,9.73,168382.0,9.872,1148
6,2023-10-03,9.59,9.97,9.52,9.64,105089.0,9.614,767
7,2023-10-04,9.71,9.71,9.27,9.38,77606.0,9.426,591
8,2023-10-05,9.3,9.35,9.06,9.33,71125.0,9.255,541
9,2023-10-06,9.24,9.32,9.07,9.09,142936.0,9.186,1042
10,2023-10-09,9.07,9.32,9.0,9.14,1476605.0,9.107,2468
11,2023-10-10,9.31,9.49,9.14,9.15,475191.0,9.257,1958
12,2023-10-11,9.18,9.31,8.74,8.94,379151.0,8.906,1641
13,2023-10-12,9.0,9.0,8.14,8.33,416516.0,8.422,2061
14,2023-10-13,8.32,8.37,7.94,8.18,518834.0,8.103,2063
15,2023-10-16,8.27,8.89,8.24,8.85,244546.0,8.709,1737
16,2023-10-17,8.79,9.43,8.79,9.09,215718.0,9.188,1394
17,2023-10-18,9.0,9.0,8.54,8.61,158950.0,8.664,1155
18,2023-10-19,8.52,8.96,8.42,8.76,371005.0,8.711,1684
19,2023-10-20,8.76,9.17,8.63,8.91,435292.0,8.847,1413
20,2023-10-23,8.79,8.94,8.62,8.63,135303.0,8.757,866
21,2023-10-24,8.73,8.95,8.44,8.55,395870.0,8.585,2142
22,2023-10-25,8.52,8.59,8.25,8.59,214951.0,8.421,1494
23,2023-10-26,8.63,8.99,8.63,8.81,148943.0,8.848,1186
24,2023-10-27,8.83,8.94,8.71,8.73,174569.0,8.81,1376
25,2023-10-30,8.82,9.14,8.67,9.12,135461.0,8.963,1097
26,2023-10-31,9.08,9.33,9.07,9.28,427059.0,9.165,1808
27,2023-11-01,9.22,9.35,9.1,9.3,136840.0,9.251,1094
28,2023-11-02,9.49,9.86,9.47,9.72,290464.0,9.718,2277
29,2023-11-03,9.87,10.22,9.87,10.11,524127.0,10.101,1960
