,date,open,high,low,close,volume,average,barCount
0,2023-10-06,395.08,403.88,395.08,401.42,83898.0,400.773,750
1,2023-10-09,400.6,413.71,400.6,410.5,95196.0,408.741,863
2,2023-10-10,411.46,413.96,410.28,411.02,70364.0,411.826,634
3,2023-10-11,411.58,414.15,409.1,412.59,62285.0,412.308,532
4,2023-10-12,413.89,413.89,405.14,406.97,74893.0,409.879,640
5,2023-10-13,408.3,408.64,402.14,404.58,65146.0,404.869,573
6,2023-10-16,407.25,410.5,403.47,409.3,44038.0,408.663,384
7,2023-10-17,406.7,411.79,404.87,410.03,36189.0,409.22,299
8,2023-10-18,406.0,408.31,398.57,398.85,46026.0,401.979,374
9,2023-10-19,398.05,402.44,392.25,393.61,82048.0,395.552,662
10,2023-10-20,394.2,394.38,388.07,388.38,75770.0,390.504,514
11,2023-10-23,386.36,389.81,384.35,385.05,105125.0,386.848,670
12,2023-10-24,386.83,389.66,384.72,386.19,101946.0,386.755,901
13,2023-10-25,383.56,395.01,371.03,373.28,219126.0,378.809,1866
14,2023-10-26,373.13,375.93,371.23,372.24,113274.0,372.917,866
15,2023-10-27,371.39,376.14,367.73,370.71,122896.0,372.134,999
16,2023-10-30,373.83,374.86,369.12,372.36,81849.0,371.446,552
17,2023-10-31,374.0,378.19,372.91,374.59,49243.0,375.146,415
18,2023-11-01,375.0,375.34,364.98,368.84,176023.0,369.314,1152
19,2023-11-02,372.12,375.52,372.12,373.16,92517.0,373.59,779
20,2023-11-03,376.82,382.29,376.82,379.46,163195.0,379.915,1191
21,2023-11-06,380.37,380.37,374.39,377.18,64798.0,375.873,499
22,2023-11-07,376.82,379.66,373.29,378.54,69765.0,378.426,565
23,2023-11-08,380.7,380.7,375.58,378.78,49488.0,377.854,379
24,2023-11-09,380.71,381.35,375.29,376.44,46052.0,377.287,329
25,2023-11-10,378.37,383.6,376.51,382.8,60765.0,380.534,390
26,2023-11-13,382.5,386.78,377.33,384.27,50166.0,384.142,394
27,2023-11-14,390.16,394.5,388.8,393.46,38763.0,392.907,283
28,2023-11-15,394.59,395.53,390.94,393.0,67642.0,392.758,534
29,2023-11-16,392.99,398.03,389.35,389.65,53414.0,391.663,409
30,2023-11-17,392.02,392.02,388.49,390.49,55109.0,390.062,365
31,2023-11-20,390.74,392.22,387.98,390.98,43372.0,390.634,329
32,2023-11-21,390.22,395.71,390.22,392.87,40689.0,393.45,338
33,2023-11-22,394.94,397.94,394.57,395.44,38310.0,396.061,247
34,2023-11-24,394.34,399.76,393.5,399.58,44269.0,397.497,285
35,2023-11-27,398.6,399.62,396.38,398.42,72513.0,398.653,562
36,2023-11-28,399.1,401.85,394.94,395.04,30709.0,397.77,250
37,2023-11-29,398.42,401.14,397.96,399.1,54439.0,399.284,442
38,2023-11-30,400.85,404.0,397.23,402.96,99387.0,402.723,725
39,2023-12-01,402.58,409.37,402.58,409.02,78018.0,407.172,551
40,2023-12-04,406.5,411.86,406.5,409.58,69912.0,409.272,500
41,2023-12-05,409.15,409.15,401.73,402.05,43072.0,403.475,326
42,2023-12-06,403.91,407.2,401.97,404.59,40903.0,405.046,322
43,2023-12-07,405.41,407.38,403.69,406.99,54587.0,406.151,405
44,2023-12-08,407.03,411.8,404.03,411.49,70317.0,409.834,460
45,2023-12-11,408.56,418.24,408.09,417.39,144462.0,413.616,739
46,2023-12-12,417.39,423.5,414.45,420.59,132156.0,420.302,983
47,2023-12-13,421.17,425.0,416.06,421.9,76089.0,421.594,522
48,2023-12-14,424.86,428.61,412.8,428.17,135294.0,423.377,799
49,2023-12-15,428.23,431.86,424.44,425.92,154180.0,428.221,896
50,2023-12-18,427.04,427.48,420.27,425.97,104769.0,424.435,703
51,2023-12-19,427.91,429.18,424.55,428.82,49796.0,427.129,392
52,2023-12-20,427.75,431.33,421.89,421.98,78552.0,427.478,476
53,2023-12-21,424.34,427.42,420.4,426.3,89740.0,425.015,520
54,2023-12-22,430.45,435.0,421.03,433.45,85619.0,432.623,642
55,2023-12-26,433.0,438.01,433.0,437.48,43471.0,436.488,314
56,2023-12-27,437.8,441.85,436.05,441.73,106065.0,440.246,734
57,2023-12-28,441.89,445.48,441.2,444.21,75521.0,443.745,630
58,2023-12-29,442.81,448.19,442.81,446.29,116518.0,446.146,814
59,2024-01-02,441.38,445.38,437.58,438.3,105141.0,441.251,743
60,2024-01-03,435.72,441.82,433.3,439.34,124976.0,438.481,760
61,2024-01-04,440.6,443.11,438.16,438.19,79530.0,440.557,599
62,2024-01-05,438.18,438.91,432.48,435.47,51720.0,436.231,390
63,2024-01-08,435.47,441.92,435.43,441.3,59562.0,437.745,437
64,2024-01-09,437.04,440.13,436.92,438.25,38970.0,438.175,248
65,2024-01-10,438.28,441.95,436.85,440.83,44539.0,440.055,285
66,2024-01-11,441.79,442.03,437.48,440.23,26458.0,439.809,196
67,2024-01-12,443.32,443.32,439.12,440.46,45570.0,440.625,361
68,2024-01-16,438.77,439.22,436.02,436.57,47911.0,437.381,267
69,2024-01-17,434.09,437.71,425.37,425.41,69583.0,429.495,529
70,2024-01-18,427.08,433.58,424.0,432.54,59774.0,430.413,462
71,2024-01-19,435.1,436.25,430.36,435.63,39077.0,434.929,229
72,2024-01-22,438.59,442.49,437.75,438.66,65654.0,439.357,489
73,2024-01-23,440.33,442.13,438.14,441.98,83436.0,440.13,505
74,2024-01-24,447.88,447.88,417.72,417.92,221167.0,425.682,1554
75,2024-01-25,419.67,429.75,415.88,424.91,112687.0,423.101,848
76,2024-01-26,425.05,426.24,416.43,418.96,69484.0,418.983,582
77,2024-01-29,418.11,429.42,416.88,429.17,74052.0,425.046,534
78,2024-01-30,428.27,431.0,424.88,428.27,47578.0,427.575,354
79,2024-01-31,429.75,429.75,418.01,418.47,84640.0,422.545,726
80,2024-02-01,419.14,427.8,415.87,427.58,129534.0,420.479,863
81,2024-02-02,425.51,434.62,425.02,432.74,57523.0,431.631,456
82,2024-02-05,431.01,431.01,423.36,430.41,65922.0,428.743,345
83,2024-02-06,431.69,434.18,430.41,434.04,52181.0,432.598,300
84,2024-02-07,436.06,436.06,431.18,432.09,72684.0,432.832,592
