,date,open,high,low,close,volume,average,barCount
0,2023-09-25,4.18,4.18,4.14,4.18,478524.0,4.164,1252
1,2023-09-26,4.15,4.16,4.1,4.14,1227389.0,4.133,2681
2,2023-09-27,4.05,4.05,4.02,4.05,565081.0,4.035,1646
3,2023-09-28,4.07,4.1,4.06,4.08,742709.0,4.077,1847
4,2023-09-29,4.07,4.08,4.05,4.07,630141.0,4.064,1448
5,2023-10-02,4.05,4.06,3.97,3.99,903232.0,3.995,2299
6,2023-10-03,3.92,3.93,3.9,3.92,695221.0,3.919,1782
7,2023-10-04,3.93,3.94,3.89,3.91,808978.0,3.914,1738
8,2023-10-05,3.95,4.02,3.95,4.0,989021.0,3.991,2423
9,2023-10-06,3.96,4.03,3.91,4.01,1080384.0,3.995,2536
10,2023-10-09,3.98,4.05,3.97,4.05,1093967.0,4.019,2379
11,2023-10-10,4.06,4.11,4.06,4.11,745104.0,4.085,1912
12,2023-10-11,4.13,4.13,4.08,4.11,535565.0,4.103,1623
13,2023-10-12,4.08,4.09,4.03,4.05,633007.0,4.05,1787
14,2023-10-13,4.04,4.06,4.01,4.03,499607.0,4.029,1498
15,2023-10-16,4.04,4.07,4.03,4.06,642242.0,4.055,1472
16,2023-10-17,4.04,4.08,4.04,4.08,461173.0,4.064,1186
17,2023-10-18,4.07,4.08,4.03,4.04,429909.0,4.05,1063
18,2023-10-19,4.01,4.04,4.0,4.0,728220.0,4.018,1491
19,2023-10-20,3.92,3.98,3.92,3.94,578304.0,3.951,1377
20,2023-10-23,3.9,3.92,3.87,3.9,649307.0,3.902,1627
21,2023-10-24,3.87,3.88,3.82,3.84,1382690.0,3.847,3059
22,2023-10-25,3.77,3.79,3.75,3.75,642609.0,3.768,2014
23,2023-10-26,3.74,3.75,3.71,3.73,831554.0,3.733,2014
24,2023-10-27,3.77,3.79,3.75,3.75,805342.0,3.765,1901
25,2023-10-30,3.87,3.89,3.8,3.8,936176.0,3.837,2339
26,2023-10-31,3.85,3.87,3.81,3.83,1048939.0,3.832,2744
27,2023-11-01,3.79,3.8,3.75,3.76,989257.0,3.77,2250
28,2023-11-02,3.88,3.89,3.83,3.86,1086498.0,3.854,2407
29,2023-11-03,3.97,3.99,3.95,3.97,896240.0,3.97,2670
30,2023-11-06,3.96,3.97,3.93,3.95,849389.0,3.947,2226
31,2023-11-07,3.91,3.93,3.88,3.91,1168006.0,3.903,2504
32,2023-11-08,3.88,3.91,3.87,3.9,1310129.0,3.89,2261
33,2023-11-09,3.89,3.92,3.87,3.88,713896.0,3.895,1602
34,2023-11-10,3.94,3.95,3.89,3.92,569818.0,3.913,1448
35,2023-11-13,3.94,3.96,3.94,3.96,1203262.0,3.951,2613
36,2023-11-14,4.0,4.02,3.96,4.02,975998.0,4.0,1838
37,2023-11-15,3.97,3.99,3.96,3.98,410940.0,3.973,1147
38,2023-11-16,4.0,4.01,3.97,4.0,628564.0,3.987,1305
39,2023-11-17,4.03,4.05,4.01,4.04,444026.0,4.033,1280
40,2023-11-20,4.07,4.12,4.07,4.12,681531.0,4.096,1474
41,2023-11-21,4.09,4.11,4.07,4.08,436208.0,4.087,1243
42,2023-11-22,4.1,4.12,4.09,4.12,384563.0,4.1,1302
43,2023-11-24,4.13,4.15,4.11,4.15,250142.0,4.135,703
44,2023-11-27,4.16,4.16,4.13,4.15,487568.0,4.15,1137
45,2023-11-28,4.15,4.19,4.15,4.19,615550.0,4.179,1855
46,2023-11-29,4.2,4.24,4.19,4.23,616072.0,4.221,1509
47,2023-11-30,4.25,4.28,4.23,4.27,638420.0,4.259,1579
48,2023-12-01,4.28,4.33,4.27,4.33,433143.0,4.298,1435
49,2023-12-04,4.29,4.32,4.28,4.32,592495.0,4.296,1569
50,2023-12-05,4.31,4.33,4.3,4.32,465625.0,4.316,1321
51,2023-12-06,4.35,4.35,4.28,4.28,357650.0,4.322,951
52,2023-12-07,4.28,4.32,4.26,4.32,615260.0,4.293,1811
53,2023-12-08,4.28,4.32,4.26,4.31,1225292.0,4.288,2286
54,2023-12-11,4.27,4.33,4.27,4.32,1773991.0,4.302,3038
55,2023-12-12,4.09,4.09,3.99,4.0,2479804.0,4.043,4004
56,2023-12-13,3.93,3.99,3.91,3.98,1274454.0,3.946,2814
57,2023-12-14,4.0,4.04,3.99,4.0,800026.0,4.003,1762
58,2023-12-15,3.92,3.94,3.87,3.87,670381.0,3.904,1543
59,2023-12-18,3.89,3.91,3.86,3.89,746267.0,3.886,1834
60,2023-12-19,3.89,4.14,3.87,4.13,4200713.0,4.016,8235
61,2023-12-20,3.99,4.02,3.96,3.98,1230824.0,3.996,2481
62,2023-12-21,3.98,3.98,3.94,3.96,699238.0,3.959,1812
63,2023-12-22,3.97,3.97,3.91,3.95,1118166.0,3.933,2147
64,2023-12-26,3.99,4.0,3.97,3.97,672576.0,3.98,1516
65,2023-12-27,3.95,3.96,3.93,3.94,999315.0,3.945,2506
66,2023-12-28,3.91,3.93,3.9,3.91,518046.0,3.909,1368
67,2023-12-29,3.9,3.9,3.87,3.9,842530.0,3.886,1317
68,2024-01-02,3.93,3.98,3.92,3.96,652061.0,3.959,1933
69,2024-01-03,3.98,3.99,3.94,3.95,889830.0,3.965,2005
70,2024-01-04,4.03,4.06,4.02,4.02,893836.0,4.042,2973
71,2024-01-05,4.02,4.07,4.02,4.06,843018.0,4.054,2194
72,2024-01-08,4.06,4.12,4.06,4.11,758999.0,4.099,1547
73,2024-01-09,4.08,4.08,4.05,4.06,575786.0,4.067,1653
74,2024-01-10,4.08,4.09,4.04,4.07,452537.0,4.068,1213
75,2024-01-11,4.08,4.1,4.05,4.08,499260.0,4.079,1347
76,2024-01-12,4.09,4.11,4.07,4.07,679279.0,4.08,1560
77,2024-01-16,4.12,4.14,4.08,4.11,812836.0,4.104,2245
78,2024-01-17,4.07,4.1,4.05,4.09,616453.0,4.073,1607
79,2024-01-18,4.07,4.08,4.05,4.08,481170.0,4.062,1327
80,2024-01-19,4.1,4.14,4.1,4.13,452172.0,4.121,1349
81,2024-01-22,4.13,4.18,4.13,4.17,1053952.0,4.162,2446
82,2024-01-23,4.16,4.18,4.13,4.15,1118735.0,4.15,2486
83,2024-01-24,4.2,4.2,4.15,4.15,437566.0,4.167,1316
84,2024-01-25,4.15,4.15,4.11,4.14,379910.0,4.131,1012
85,2024-01-26,4.15,4.18,4.14,4.18,540360.0,4.17,1292
86,2024-01-29,4.13,4.17,4.11,4.16,685666.0,4.141,1617
87,2024-01-30,4.11,4.15,4.09,4.14,1403855.0,4.124,2459
88,2024-01-31,4.13,4.13,4.07,4.09,824046.0,4.112,1873
89,2024-02-01,4.09,4.1,4.06,4.09,379900.0,4.083,1004
