,date,open,high,low,close,volume,average,barCount
0,2023-10-06,13.87,13.95,13.65,13.87,1076388.0,13.845,6123
1,2023-10-09,13.9,14.36,13.89,14.26,1169080.0,14.185,6878
2,2023-10-10,14.36,14.53,14.26,14.47,1236787.0,14.431,6153
3,2023-10-11,14.51,14.55,14.22,14.25,736824.0,14.341,3925
4,2023-10-12,14.25,14.31,13.88,14.03,661160.0,13.984,3858
5,2023-10-13,14.01,14.17,14.01,14.08,698748.0,14.082,3617
6,2023-10-16,14.2,14.61,14.1,14.56,1291484.0,14.487,6752
7,2023-10-17,14.5,14.66,14.46,14.53,845086.0,14.552,5119
8,2023-10-18,14.49,14.55,14.3,14.4,939513.0,14.435,5705
9,2023-10-19,14.38,14.38,14.06,14.13,1465863.0,14.204,8623
10,2023-10-20,14.14,14.25,14.02,14.07,1341495.0,14.119,6573
11,2023-10-23,13.98,13.99,13.73,13.77,1292166.0,13.862,7858
12,2023-10-24,13.88,14.13,13.84,14.1,1434473.0,14.007,9488
13,2023-10-25,14.08,14.27,13.93,14.19,985752.0,14.178,6171
14,2023-10-26,14.17,14.2,13.9,14.07,1163143.0,14.046,7246
15,2023-10-27,14.07,14.24,13.98,14.2,1651122.0,14.152,9716
16,2023-10-30,14.24,14.56,14.16,14.37,1112804.0,14.422,6315
17,2023-10-31,14.35,14.59,14.34,14.51,1138281.0,14.47,5803
18,2023-11-01,14.48,14.67,14.37,14.53,1040064.0,14.531,5689
19,2023-11-02,14.58,15.13,14.58,15.11,1263595.0,14.972,7836
20,2023-11-03,15.26,15.66,15.25,15.53,1234166.0,15.516,7358
21,2023-11-06,15.43,15.53,15.33,15.41,1749575.0,15.417,8898
22,2023-11-07,15.48,15.8,14.76,15.45,1689599.0,15.53,8894
23,2023-11-08,15.1,15.1,14.74,15.06,2170871.0,14.932,11744
24,2023-11-09,15.27,15.81,15.23,15.33,2808750.0,15.449,10748
25,2023-11-10,15.3,15.7,15.3,15.62,1620238.0,15.562,6939
26,2023-11-13,15.54,15.68,15.47,15.61,1867235.0,15.592,6874
27,2023-11-14,15.83,15.94,15.73,15.82,1978402.0,15.843,9797
28,2023-11-15,15.61,16.05,15.5,16.0,1461211.0,15.938,7419
29,2023-11-16,15.99,16.09,15.73,15.78,1074388.0,15.827,5929
30,2023-11-17,15.85,15.99,15.73,15.8,1671629.0,15.835,7143
31,2023-11-20,15.76,16.07,15.74,15.98,991764.0,15.916,4981
32,2023-11-21,15.93,16.03,15.83,15.86,1080275.0,15.887,5459
33,2023-11-22,15.89,16.02,15.79,15.83,1010533.0,15.873,4918
34,2023-11-24,15.91,15.97,15.72,15.88,491472.0,15.847,2507
35,2023-11-27,15.81,15.97,15.73,15.79,1323183.0,15.849,6248
36,2023-11-28,15.73,15.88,15.28,15.3,1713991.0,15.415,7082
37,2023-11-29,15.35,15.53,15.24,15.47,1530677.0,15.43,6971
38,2023-11-30,15.48,15.5,15.25,15.33,1761659.0,15.344,7474
39,2023-12-01,15.37,15.73,15.29,15.65,1384912.0,15.586,7062
40,2023-12-04,15.56,15.85,15.52,15.64,1441921.0,15.645,6633
41,2023-12-05,15.58,15.6,15.16,15.24,1443669.0,15.326,6956
42,2023-12-06,15.24,15.33,14.97,14.97,1730862.0,15.073,7877
43,2023-12-07,14.96,15.27,14.86,15.19,1511441.0,15.152,7119
44,2023-12-08,15.19,15.5,15.15,15.39,1072899.0,15.383,5892
45,2023-12-11,15.39,15.44,15.18,15.23,1455350.0,15.278,6291
46,2023-12-12,15.21,15.21,14.83,14.88,1519236.0,14.945,6527
47,2023-12-13,14.86,15.19,14.75,15.17,1220716.0,14.981,6433
48,2023-12-14,15.34,15.75,15.07,15.34,1438877.0,15.308,7734
49,2023-12-15,15.37,15.52,15.14,15.16,2527605.0,15.279,8508
50,2023-12-18,15.23,15.36,15.05,15.19,1272626.0,15.23,6409
51,2023-12-19,15.28,15.51,15.22,15.45,1030566.0,15.441,5062
52,2023-12-20,15.43,15.63,15.22,15.25,1276303.0,15.42,6041
53,2023-12-21,15.35,15.42,15.22,15.37,1228435.0,15.341,5312
54,2023-12-22,15.38,15.51,15.21,15.28,1130244.0,15.341,4890
55,2023-12-26,15.34,15.4,15.19,15.31,990989.0,15.317,5016
56,2023-12-27,15.28,15.36,15.17,15.24,971718.0,15.247,4858
57,2023-12-28,15.19,15.35,15.19,15.33,1063091.0,15.294,5134
58,2023-12-29,15.29,15.43,15.17,15.3,891874.0,15.282,4428
59,2024-01-02,15.26,15.64,15.23,15.49,1040629.0,15.491,5641
60,2024-01-03,15.49,15.49,15.25,15.25,1263512.0,15.358,5168
61,2024-01-04,15.37,15.37,15.19,15.36,988278.0,15.292,4746
62,2024-01-05,15.29,15.51,15.22,15.36,867575.0,15.416,4044
63,2024-01-08,15.36,15.67,15.33,15.62,826692.0,15.554,4133
64,2024-01-09,15.5,15.65,15.42,15.59,2354429.0,15.547,8560
65,2024-01-10,15.59,15.59,15.35,15.54,1198540.0,15.496,6174
66,2024-01-11,15.5,15.56,15.36,15.53,1367397.0,15.497,6465
67,2024-01-12,15.64,15.69,15.52,15.55,942812.0,15.577,4354
68,2024-01-16,15.44,15.52,15.25,15.34,1043008.0,15.354,4973
69,2024-01-17,15.22,15.41,15.17,15.31,1450763.0,15.344,5679
70,2024-01-18,15.36,15.38,15.17,15.32,765044.0,15.262,4108
71,2024-01-19,15.36,15.54,15.25,15.51,842216.0,15.417,4065
72,2024-01-22,15.57,15.75,15.5,15.62,795119.0,15.642,4034
73,2024-01-23,15.85,15.96,15.7,15.73,1111225.0,15.77,5706
74,2024-01-24,15.86,15.89,15.55,15.57,1074147.0,15.697,4868
75,2024-01-25,15.68,15.82,15.63,15.81,1107130.0,15.736,5266
76,2024-01-26,15.88,15.93,15.81,15.84,1016326.0,15.865,4722
77,2024-01-29,15.86,16.0,15.74,15.77,1312048.0,15.812,5410
78,2024-01-30,15.72,15.84,15.65,15.78,879438.0,15.773,3824
79,2024-01-31,15.75,15.87,15.59,15.59,1344055.0,15.741,6391
80,2024-02-01,15.65,15.8,15.45,15.75,1150746.0,15.675,5331
81,2024-02-02,15.69,15.72,15.41,15.46,1263035.0,15.522,5452
82,2024-02-05,15.33,15.38,15.11,15.16,1524746.0,15.207,6746
83,2024-02-06,15.18,15.47,15.15,15.39,969363.0,15.371,4902
84,2024-02-07,15.25,15.38,14.21,14.27,5231329.0,14.505,14846
85,2024-02-08,14.37,14.37,14.12,14.18,2295155.0,14.228,10738
