,date,open,high,low,close,volume,average,barCount
0,2023-09-25,2.38,2.59,2.35,2.57,20284245.0,2.50914,22369
1,2023-09-26,2.55,2.625,2.4,2.4,16464745.0,2.49528,19453
2,2023-09-27,2.5,2.62,2.31,2.4,32717049.0,2.42142,35436
3,2023-09-28,2.39,2.4,2.26,2.35,17005733.0,2.32731,19926
4,2023-09-29,2.39,2.42,2.33,2.39,14544257.0,2.38243,17556
5,2023-10-02,2.41,2.43,2.21,2.27,21932745.0,2.28107,22348
6,2023-10-03,2.26,2.31,2.2,2.24,15498244.0,2.258,22797
7,2023-10-04,2.365,2.37,2.07,2.22,34681629.0,2.17272,35778
8,2023-10-05,2.22,2.22,2.1,2.12,21299930.0,2.14047,24079
9,2023-10-06,2.07,2.14,2.03,2.06,20012891.0,2.08537,17940
10,2023-10-09,2.02,2.08,1.93,2.03,17506382.0,1.99143,18649
11,2023-10-10,2.03,2.18,2.0299,2.13,15889075.0,2.13517,16173
12,2023-10-11,2.13,2.17,2.05,2.05,12371329.0,2.0884,14265
13,2023-10-12,2.05,2.05,1.95,1.97,12358549.0,1.98876,12107
14,2023-10-13,1.97,2.0398,1.95,2.01,10508429.0,2.00059,11432
15,2023-10-16,2.01,2.05,1.95,2.03,10947433.0,2.00835,12695
16,2023-10-17,2.0,2.0999,1.99,2.08,9804033.0,2.06284,12084
17,2023-10-18,2.06,2.07,1.96,1.98,14416209.0,2.00356,12950
18,2023-10-19,1.98,2.0179,1.91,1.91,11246991.0,1.96326,11771
19,2023-10-20,1.9,1.93,1.83,1.84,12606849.0,1.87561,13220
20,2023-10-23,1.79,1.855,1.75,1.78,13533561.0,1.80342,13589
21,2023-10-24,1.79,1.95,1.78,1.93,13369006.0,1.89726,15726
22,2023-10-25,1.92,1.93,1.79,1.79,10760286.0,1.8293,12154
23,2023-10-26,1.79,1.83,1.75,1.77,11056719.0,1.78671,10436
24,2023-10-27,1.7899,1.8,1.71,1.71,9598989.0,1.75065,9787
25,2023-10-30,1.73,1.79,1.7,1.73,11118349.0,1.72876,9376
26,2023-10-31,1.73,1.81,1.7199,1.8,8991251.0,1.76898,9932
27,2023-11-01,1.79,1.8,1.71,1.73,8527404.0,1.74898,10130
28,2023-11-02,1.75,1.88,1.73,1.82,10047225.0,1.83118,10651
29,2023-11-03,1.89,1.99,1.86,1.92,11227806.0,1.93346,12026
30,2023-11-06,1.97,1.98,1.82,1.83,10122796.0,1.87468,11393
31,2023-11-07,1.83,1.85,1.79,1.79,8158097.0,1.80986,10370
32,2023-11-08,1.84,1.84,1.73,1.74,8920262.0,1.77468,9123
33,2023-11-09,1.77,1.78,1.66,1.66,11856425.0,1.70483,13499
34,2023-11-10,1.68,1.7,1.61,1.67,10151500.0,1.65697,11402
35,2023-11-13,1.66,1.7,1.61,1.68,7398422.0,1.65771,9251
36,2023-11-14,1.73,1.77,1.69,1.73,11540494.0,1.72211,10591
37,2023-11-15,1.76,1.91,1.75,1.82,16989861.0,1.85261,15955
38,2023-11-16,1.81,1.82,1.73,1.75,8505077.0,1.75953,10711
39,2023-11-17,1.77,1.84,1.73,1.83,12141535.0,1.80159,11182
40,2023-11-20,1.84,1.88,1.81,1.815,10962765.0,1.84479,11124
41,2023-11-21,1.82,1.82,1.75,1.78,7633309.0,1.77088,9351
42,2023-11-22,1.8,1.825,1.77,1.79,5720403.0,1.79488,6006
43,2023-11-24,1.79,1.84,1.78,1.8,3395273.0,1.81154,4184
