,date,open,high,low,close,volume,average,barCount
0,2023-10-06,100.7,102.73,100.32,102.16,649109.0,101.878,5292
1,2023-10-09,101.95,104.3,101.75,104.03,871608.0,103.383,6366
2,2023-10-10,103.88,105.69,103.88,104.87,698767.0,105.039,5515
3,2023-10-11,105.0,106.19,103.48,104.15,700497.0,104.38,5177
4,2023-10-12,104.09,104.09,101.72,102.54,590287.0,102.502,4340
5,2023-10-13,103.38,103.39,100.2,100.65,821987.0,101.474,3525
6,2023-10-16,102.0,103.19,99.91,100.27,1772500.0,100.824,11371
7,2023-10-17,99.97,102.34,99.74,100.75,1001820.0,100.997,6603
8,2023-10-18,100.0,100.41,97.95,98.05,957158.0,98.509,6523
9,2023-10-19,98.05,99.19,97.24,97.37,1027591.0,97.879,5320
10,2023-10-20,97.01,97.64,95.75,96.33,873479.0,96.559,5233
11,2023-10-23,96.01,97.0,95.37,95.47,638780.0,96.219,4656
12,2023-10-24,95.87,96.77,95.26,95.92,681589.0,95.887,4586
13,2023-10-25,95.13,95.79,93.34,93.47,768779.0,93.916,5844
14,2023-10-26,93.63,94.5,92.67,92.77,1321465.0,93.445,9083
15,2023-10-27,93.0,93.56,87.43,88.39,1963934.0,88.812,13091
16,2023-10-30,88.55,90.78,88.55,90.02,1085425.0,89.844,7780
17,2023-10-31,90.83,91.11,89.22,90.5,891819.0,90.251,6459
18,2023-11-01,91.08,91.35,89.64,90.97,692871.0,90.611,4813
19,2023-11-02,92.57,94.65,92.46,94.29,690073.0,94.014,5069
20,2023-11-03,95.81,97.27,95.57,95.67,744131.0,96.192,4176
21,2023-11-06,95.75,96.24,93.99,94.69,649842.0,94.597,4796
22,2023-11-07,94.73,94.96,93.7,94.11,491110.0,94.235,3660
23,2023-11-08,94.02,94.94,93.71,94.86,463320.0,94.575,3613
24,2023-11-09,95.64,95.93,93.83,93.91,415903.0,94.772,3045
25,2023-11-10,93.56,93.79,90.02,92.62,1060808.0,92.22,7903
26,2023-11-13,91.82,93.01,91.4,92.34,654838.0,92.29,4445
27,2023-11-14,94.47,97.55,94.47,97.02,937598.0,96.747,6904
28,2023-11-15,97.29,99.4,97.19,98.36,493368.0,98.505,3466
29,2023-11-16,97.43,97.96,96.86,97.47,781930.0,97.345,6095
30,2023-11-17,98.39,98.88,97.33,97.79,385580.0,97.841,2582
31,2023-11-20,97.64,98.87,96.58,98.83,696598.0,98.201,5120
