,date,open,high,low,close,volume,average,barCount
0,2023-10-06,253.98,261.65,250.65,260.53,92969641.0,256.303,340913
1,2023-10-09,255.33,261.36,252.05,259.67,83035616.0,256.289,302560
2,2023-10-10,257.83,268.94,257.65,263.62,100842157.0,265.064,341065
3,2023-10-11,266.19,268.6,260.9,262.99,84511692.0,264.065,289092
4,2023-10-12,262.92,265.41,256.63,258.87,90066215.0,261.783,311260
5,2023-10-13,258.88,259.6,250.22,251.12,82784249.0,254.107,295267
6,2023-10-16,250.05,255.4,248.48,253.92,70733967.0,252.972,250223
7,2023-10-17,250.1,257.19,247.08,254.85,75665409.0,253.212,273132
8,2023-10-18,252.75,254.63,242.08,242.68,85581919.0,246.896,309919
9,2023-10-19,225.84,230.61,216.78,220.11,123692255.0,221.773,478030
10,2023-10-20,217.01,218.87,210.42,211.99,111253044.0,213.967,401366
11,2023-10-23,209.99,216.98,202.51,212.08,119327797.0,211.674,405819
12,2023-10-24,216.5,222.05,214.11,216.52,94709148.0,217.685,336827
13,2023-10-25,215.9,220.1,212.2,212.42,84344859.0,216.151,315007
14,2023-10-26,211.28,214.8,204.88,205.76,91231703.0,208.42,327756
15,2023-10-27,210.6,212.41,205.77,207.3,75907830.0,208.681,279342
16,2023-10-30,209.25,210.88,194.67,197.36,108843799.0,200.026,380924
17,2023-10-31,196.1,202.8,194.07,200.84,92391220.0,199.08,311997
18,2023-11-01,204.04,205.99,197.85,205.66,97128497.0,201.782,344166
19,2023-11-02,212.97,219.2,211.45,218.51,95915346.0,216.434,351283
20,2023-11-03,221.16,226.38,218.4,219.96,96109275.0,221.205,343905
21,2023-11-06,223.97,226.32,215.0,219.27,94739438.0,219.458,314610
22,2023-11-07,219.96,223.12,215.72,222.18,97176335.0,219.066,326874
23,2023-11-08,223.15,224.15,217.64,222.11,86586514.0,220.234,287847
24,2023-11-09,219.75,220.8,206.68,209.98,110295640.0,211.806,384909
25,2023-11-10,210.03,215.38,205.69,214.65,105898987.0,211.769,353453
26,2023-11-13,215.55,225.4,211.61,223.71,113433969.0,221.222,396624
27,2023-11-14,235.03,238.14,230.72,237.41,116991870.0,234.649,428073
28,2023-11-15,239.18,246.7,236.45,242.84,120573313.0,242.793,415359
29,2023-11-16,239.35,240.88,230.96,233.59,111642284.0,235.5,388663
30,2023-11-17,231.97,237.39,226.54,234.3,116891747.0,233.281,395667
31,2023-11-20,234.09,237.1,231.02,235.6,96412894.0,234.179,321010
