,date,open,high,low,close,volume,average,barCount
0,2023-10-06,82.59,85.0,82.24,84.37,309581.0,84.301,2181
1,2023-10-09,84.03,85.24,83.58,84.99,201817.0,84.699,1514
2,2023-10-10,85.49,85.88,84.26,85.29,310698.0,85.314,1861
3,2023-10-11,85.49,86.27,85.21,86.09,169937.0,85.905,1120
4,2023-10-12,86.31,86.31,83.88,84.65,201112.0,84.739,1532
5,2023-10-13,84.71,86.21,84.38,85.9,326086.0,85.734,2083
6,2023-10-16,86.84,87.32,86.48,87.17,227407.0,86.893,1494
7,2023-10-17,86.86,88.3,86.65,87.48,361230.0,87.414,2871
8,2023-10-18,86.57,86.57,84.29,84.46,255315.0,85.39,1973
9,2023-10-19,84.05,84.75,83.32,83.62,154547.0,83.851,1167
10,2023-10-20,83.42,83.72,82.1,82.22,112622.0,82.578,906
11,2023-10-23,82.22,82.38,81.38,81.41,195748.0,81.801,1671
12,2023-10-24,82.03,82.47,81.14,81.31,182179.0,81.486,1422
13,2023-10-25,81.1,81.34,80.29,80.35,218385.0,80.606,1897
14,2023-10-26,80.75,82.04,80.54,81.81,176024.0,81.521,1356
15,2023-10-27,81.99,82.36,80.88,81.28,127123.0,81.437,997
16,2023-10-30,82.02,82.33,80.86,81.57,150795.0,81.433,1080
17,2023-10-31,81.46,81.77,80.54,80.84,158786.0,81.009,1279
18,2023-11-01,80.74,81.21,79.58,81.03,209452.0,80.437,1581
19,2023-11-02,82.11,83.74,81.99,83.7,275300.0,83.104,2257
20,2023-11-03,84.96,86.81,84.46,86.08,353109.0,86.332,2640
21,2023-11-06,86.0,86.0,83.77,83.9,156633.0,84.335,1195
22,2023-11-07,83.11,83.25,82.22,83.05,147024.0,82.829,1187
23,2023-11-08,83.25,84.49,83.24,84.01,171449.0,84.02,1489
24,2023-11-09,84.76,84.76,82.05,82.19,151577.0,82.66,1207
25,2023-11-10,82.74,83.83,82.2,83.82,117535.0,83.325,943
26,2023-11-13,83.48,83.91,82.83,83.36,122520.0,83.526,1064
27,2023-11-14,84.95,87.65,84.83,86.52,228297.0,86.796,1830
28,2023-11-15,86.84,87.97,86.13,86.95,254461.0,87.034,1711
29,2023-11-16,87.02,87.45,85.6,86.05,120277.0,86.134,866
30,2023-11-17,86.51,86.75,84.64,85.33,354011.0,85.548,2703
31,2023-11-20,85.56,86.26,84.98,85.06,251434.0,85.426,1669
32,2023-11-21,84.72,85.0,83.92,83.98,401917.0,84.46,2440
