,date,open,high,low,close,volume,average,barCount
0,2023-10-06,198.72,205.84,198.58,204.3,562344.0,203.201,4104
1,2023-10-09,203.3,205.15,200.39,204.31,669136.0,202.992,4702
2,2023-10-10,204.84,209.2,204.56,208.55,602988.0,208.127,4420
3,2023-10-11,208.3,211.4,208.3,211.3,470904.0,209.827,2837
4,2023-10-12,211.71,211.71,204.94,206.86,708276.0,207.471,5571
5,2023-10-13,208.0,209.23,202.81,204.69,508374.0,205.045,3750
6,2023-10-16,207.78,210.27,206.66,208.1,611535.0,208.239,4693
7,2023-10-17,207.46,210.85,205.79,209.19,566441.0,209.305,4518
8,2023-10-18,206.9,206.9,195.8,195.98,972155.0,198.756,7403
9,2023-10-19,194.99,197.17,189.74,191.32,1121911.0,192.601,8544
10,2023-10-20,190.29,191.35,186.56,187.27,1012198.0,188.454,7865
11,2023-10-23,187.63,190.4,186.28,187.9,733896.0,188.648,5317
12,2023-10-24,189.82,189.82,185.84,186.56,543134.0,187.233,4429
13,2023-10-25,185.48,188.54,184.02,184.42,871487.0,185.608,6773
14,2023-10-26,187.33,190.85,186.87,187.43,953540.0,188.854,7114
15,2023-10-27,187.25,188.24,184.24,184.69,862455.0,185.424,6681
16,2023-10-30,187.34,189.26,185.75,188.08,458139.0,188.076,3555
17,2023-10-31,187.05,191.03,186.24,190.31,1079472.0,190.096,6538
18,2023-11-01,200.57,214.78,200.0,213.5,2456150.0,209.722,15214
19,2023-11-02,215.5,216.71,211.31,213.11,1073391.0,213.824,7775
20,2023-11-03,217.5,219.5,215.52,218.0,1110594.0,218.297,8350
21,2023-11-06,217.73,218.74,215.36,217.12,574038.0,216.665,4449
22,2023-11-07,216.02,220.17,214.35,219.67,592586.0,218.979,4225
23,2023-11-08,220.07,222.53,219.68,221.84,602267.0,221.413,4826
24,2023-11-09,221.98,223.63,220.62,220.99,529952.0,221.948,3932
25,2023-11-10,221.98,226.16,221.85,225.48,612694.0,224.502,4539
26,2023-11-13,224.52,226.29,223.24,224.44,411346.0,224.395,3254
27,2023-11-14,228.21,229.94,226.49,229.05,569635.0,229.111,4133
28,2023-11-15,228.64,229.78,225.42,225.71,1068246.0,227.359,6712
29,2023-11-16,226.99,229.4,226.32,226.54,680288.0,227.239,5055
30,2023-11-17,228.0,228.89,226.43,228.62,530608.0,227.766,3583
31,2023-11-20,228.5,228.95,225.51,226.95,539473.0,227.163,3649
32,2023-11-21,226.41,228.74,225.9,226.03,571410.0,227.169,4141
33,2023-11-22,227.17,228.81,225.59,227.46,316101.0,227.57,2577
34,2023-11-24,226.52,228.58,225.67,228.56,90609.0,227.776,610
35,2023-11-27,227.72,228.4,225.4,225.98,511426.0,226.269,3778
36,2023-11-28,225.83,225.83,221.56,222.71,692688.0,223.374,5134
37,2023-11-29,225.2,225.87,221.93,222.63,595896.0,223.152,4596
38,2023-11-30,221.33,225.9,221.22,225.41,616877.0,224.458,4376
39,2023-12-01,226.0,228.31,224.98,227.53,433341.0,227.258,3188
40,2023-12-04,226.18,229.03,226.18,228.48,337937.0,227.995,2571
41,2023-12-05,228.18,230.26,227.86,229.58,777091.0,229.237,5578
42,2023-12-06,230.79,233.7,229.59,230.47,718466.0,231.241,5219
43,2023-12-07,231.43,231.44,229.07,231.35,413443.0,230.409,3069
44,2023-12-08,233.44,235.72,232.6,234.0,542656.0,234.161,3885
45,2023-12-11,235.03,238.38,235.02,237.39,533609.0,236.946,3855
46,2023-12-12,236.35,239.8,235.85,239.32,522314.0,238.64,3365
47,2023-12-13,239.75,239.76,235.36,238.05,590098.0,237.758,4100
48,2023-12-14,239.25,241.21,235.52,238.9,1039854.0,238.979,6367
49,2023-12-15,234.84,241.4,234.45,239.92,972094.0,238.818,5513
50,2023-12-18,239.98,240.52,238.27,240.1,345064.0,239.765,2609
51,2023-12-19,240.33,242.0,239.66,241.79,374635.0,240.898,2744
52,2023-12-20,241.06,243.18,238.4,238.55,474302.0,240.978,3740
53,2023-12-21,240.1,243.63,239.25,243.4,404612.0,241.965,3275
54,2023-12-22,244.0,244.78,241.5,242.4,361729.0,242.891,2899
55,2023-12-26,242.37,244.54,241.57,243.74,182033.0,243.498,1399
56,2023-12-27,243.11,244.89,242.82,243.95,248241.0,244.028,2004
57,2023-12-28,242.29,245.27,242.01,243.81,311400.0,244.266,2007
58,2023-12-29,243.29,244.84,242.87,243.9,341802.0,244.023,2293
59,2024-01-02,241.45,243.82,239.83,240.63,433439.0,241.037,3394
60,2024-01-03,239.08,239.28,233.76,235.96,664332.0,236.666,4525
61,2024-01-04,236.5,241.09,236.33,239.69,628318.0,239.777,4067
62,2024-01-05,240.41,241.91,238.14,240.56,439507.0,239.928,3327
63,2024-01-08,240.9,243.2,239.03,243.13,342662.0,241.189,2528
64,2024-01-09,241.91,244.65,240.51,244.49,384533.0,243.428,2928
65,2024-01-10,245.0,246.29,244.08,245.88,429227.0,245.315,3078
66,2024-01-11,247.12,247.47,242.49,245.99,516374.0,244.407,3944
67,2024-01-12,247.76,247.76,244.24,246.15,249908.0,245.572,2018
68,2024-01-16,245.6,246.72,243.83,245.52,415679.0,244.852,3194
69,2024-01-17,242.81,246.46,242.81,244.43,379163.0,244.984,2840
70,2024-01-18,245.33,247.83,244.11,247.33,277476.0,246.161,2094
71,2024-01-19,249.0,249.89,245.3,248.92,372112.0,247.984,2251
72,2024-01-22,250.62,253.29,250.11,252.63,302203.0,252.045,2281
73,2024-01-23,251.95,253.56,249.21,253.15,803704.0,251.935,4535
74,2024-01-24,254.5,255.0,251.05,251.13,510078.0,252.698,3851
75,2024-01-25,253.0,253.54,250.67,252.12,565174.0,251.977,4164
