,date,open,high,low,close,volume,average,barCount
0,2023-10-06,54.66,57.25,54.52,56.85,1216757.0,56.452,7481
1,2023-10-09,56.01,57.75,55.77,57.31,892231.0,57.092,5070
2,2023-10-10,57.67,58.61,57.45,58.14,881117.0,58.195,5851
3,2023-10-11,58.32,58.66,56.86,57.42,996681.0,57.459,5612
4,2023-10-12,57.38,57.51,55.78,56.29,1116559.0,56.579,6142
5,2023-10-13,56.3,56.79,55.24,55.58,1438506.0,55.84,9095
6,2023-10-16,55.43,57.66,55.21,57.34,1041612.0,56.953,6316
7,2023-10-17,56.52,58.83,56.45,58.13,852738.0,58.114,4451
8,2023-10-18,57.65,57.96,55.89,56.02,1068030.0,56.482,5806
9,2023-10-19,56.49,56.83,55.32,55.41,813971.0,55.881,4819
10,2023-10-20,55.11,55.11,53.28,53.33,1995340.0,53.956,13010
11,2023-10-23,52.73,53.63,52.03,52.49,1528873.0,52.901,9202
12,2023-10-24,53.14,54.47,53.08,53.62,1097784.0,53.775,5985
13,2023-10-25,52.41,52.92,51.11,51.21,1214050.0,51.718,6465
14,2023-10-26,51.34,51.96,50.13,50.75,1134441.0,50.795,6652
15,2023-10-27,50.96,51.23,50.03,50.19,819112.0,50.508,4863
16,2023-10-30,50.87,50.95,49.91,50.41,857742.0,50.355,4697
17,2023-10-31,50.5,51.46,50.14,51.26,899173.0,51.039,5302
18,2023-11-01,50.99,51.24,49.85,50.49,1240435.0,50.505,7559
19,2023-11-02,52.46,53.07,51.9,52.19,1444343.0,52.383,8535
20,2023-11-03,53.25,54.53,53.02,54.1,2550849.0,54.109,15706
21,2023-11-06,54.19,54.43,52.45,53.21,2213181.0,53.208,13186
22,2023-11-07,55.11,56.22,54.44,55.41,3004864.0,55.401,14437
23,2023-11-08,55.29,56.88,55.02,55.81,4750689.0,55.705,23693
24,2023-11-09,57.21,60.24,55.57,56.0,9447423.0,57.682,39387
25,2023-11-10,56.15,58.85,55.68,58.84,4332960.0,57.936,22194
26,2023-11-13,58.49,58.99,57.42,58.44,2316721.0,58.209,13645
27,2023-11-14,59.9,61.63,59.71,61.6,3428339.0,60.895,19929
28,2023-11-15,62.0,62.48,61.13,62.16,2934782.0,61.957,17555
29,2023-11-16,61.5,62.22,60.93,61.55,2076769.0,61.514,11978
30,2023-11-17,61.49,63.28,61.32,63.11,1664089.0,62.576,9856
31,2023-11-20,62.5,64.46,62.5,63.63,1410912.0,63.674,7933
32,2023-11-21,62.95,63.41,62.31,62.53,1056198.0,62.741,6840
33,2023-11-22,63.03,63.54,62.23,62.66,744127.0,62.933,4934
34,2023-11-24,62.58,63.55,62.46,63.04,466339.0,63.155,2501
35,2023-11-27,62.67,63.86,62.4,62.85,1385025.0,63.299,8432
36,2023-11-28,63.55,65.73,62.66,65.1,3058993.0,64.645,17237
37,2023-11-29,65.95,66.94,65.62,66.13,2446282.0,66.233,15461
38,2023-11-30,66.42,66.88,64.1,64.68,1639591.0,64.797,10155
39,2023-12-01,64.5,66.77,64.1,66.76,1897163.0,65.926,12432
40,2023-12-04,65.99,67.59,65.35,67.52,2014285.0,66.971,13029
