,date,open,high,low,close,volume,average,barCount
0,2023-09-25,41.0,41.93,40.81,41.21,555171.0,41.203,3857
1,2023-09-26,41.08,41.7,40.18,40.86,414523.0,40.688,3215
2,2023-09-27,41.36,41.69,40.45,41.29,427795.0,41.03,3191
3,2023-09-28,41.03,42.03,40.33,41.25,314180.0,41.218,2282
4,2023-09-29,41.28,41.92,40.75,41.25,420135.0,41.184,2323
5,2023-10-02,41.07,41.12,40.11,40.49,427443.0,40.496,3125
6,2023-10-03,39.94,40.72,39.45,39.78,476204.0,39.865,3396
7,2023-10-04,40.18,40.18,38.74,39.76,424261.0,39.352,3353
8,2023-10-05,39.74,39.74,38.07,38.79,436031.0,38.616,3370
9,2023-10-06,38.17,38.93,37.75,38.67,388754.0,38.49,2838
10,2023-10-09,38.27,39.12,37.49,39.09,216307.0,38.419,1835
11,2023-10-10,39.3,41.67,39.3,40.97,473380.0,40.978,3530
12,2023-10-11,41.19,41.61,40.02,40.99,371195.0,40.664,2989
13,2023-10-12,40.9,40.95,38.8,38.95,505978.0,39.8,3411
14,2023-10-13,38.82,38.84,37.99,38.51,222424.0,38.463,1834
15,2023-10-16,38.75,39.53,37.86,38.98,238039.0,38.963,2001
16,2023-10-17,38.19,42.64,38.19,41.85,825315.0,41.504,5886
17,2023-10-18,41.32,41.34,39.22,39.68,566254.0,39.656,4186
18,2023-10-19,39.81,40.54,39.39,39.73,374897.0,39.854,3214
19,2023-10-20,39.69,39.97,38.75,39.44,698884.0,39.484,3811
20,2023-10-23,38.73,40.26,38.04,39.86,479933.0,39.727,3579
21,2023-10-24,40.08,41.11,39.89,40.42,421246.0,40.583,3005
22,2023-10-25,39.64,39.64,36.92,37.02,669483.0,37.456,4808
23,2023-10-26,37.05,38.04,36.8,37.29,461249.0,37.407,3526
24,2023-10-27,37.61,37.61,36.3,36.41,372957.0,36.702,2289
25,2023-10-30,36.96,36.96,34.04,35.75,917555.0,35.182,6308
26,2023-10-31,36.11,36.5,35.16,35.28,867903.0,35.646,4762
27,2023-11-01,35.06,35.17,33.79,34.32,908464.0,34.26,6768
28,2023-11-02,35.73,36.61,35.0,36.53,1291352.0,35.882,9270
29,2023-11-03,36.0,39.99,36.0,39.72,1635087.0,39.079,12215
30,2023-11-06,39.62,39.99,38.36,38.65,805573.0,38.902,5490
31,2023-11-07,38.27,39.5,37.41,39.02,749728.0,38.941,5826
32,2023-11-08,39.02,39.02,37.41,37.93,631549.0,37.924,3960
33,2023-11-09,38.18,38.48,36.46,36.48,542365.0,37.354,3617
34,2023-11-10,36.16,36.16,34.19,35.48,886687.0,35.072,5599
35,2023-11-13,35.22,36.4,34.75,36.32,379384.0,35.829,3214
36,2023-11-14,38.85,40.08,38.85,39.87,683965.0,39.645,5048
37,2023-11-15,40.02,41.6,39.52,40.41,470550.0,40.645,3495
38,2023-11-16,40.06,40.6,39.63,39.94,232473.0,39.942,1654
39,2023-11-17,40.36,42.25,39.95,42.17,598088.0,41.438,4330
40,2023-11-20,42.47,44.1,42.0,43.42,778990.0,43.295,5356
41,2023-11-21,42.99,44.26,42.76,42.81,577128.0,43.549,4221
42,2023-11-22,43.2,44.27,42.69,43.35,498605.0,43.316,3535
43,2023-11-24,42.95,43.92,42.91,43.36,163577.0,43.518,1077
44,2023-11-27,42.63,43.36,42.12,42.71,260286.0,42.849,1830
45,2023-11-28,42.03,42.26,41.23,42.16,342267.0,41.939,2666
46,2023-11-29,43.14,44.75,42.71,43.32,638879.0,43.565,3315
47,2023-11-30,43.5,43.69,42.67,43.52,407636.0,43.308,2958
48,2023-12-01,43.07,45.85,42.83,45.75,405131.0,44.976,2872
49,2023-12-04,46.0,46.89,45.18,46.29,524391.0,46.249,4295
50,2023-12-05,45.73,46.04,44.56,45.33,360794.0,45.179,2677
51,2023-12-06,46.22,47.44,45.61,46.2,321005.0,46.491,2020
52,2023-12-07,46.13,47.77,46.01,47.57,460066.0,47.289,3536
53,2023-12-08,47.16,49.2,46.84,48.84,649915.0,48.473,4823
54,2023-12-11,48.71,48.72,47.08,48.14,664514.0,47.908,3939
55,2023-12-12,49.27,49.74,48.19,48.64,438928.0,48.94,3047
56,2023-12-13,48.85,51.68,47.76,51.2,670807.0,49.926,4121
57,2023-12-14,53.57,55.77,53.5,55.17,1512513.0,55.051,9916
58,2023-12-15,54.6,55.31,53.2,53.47,707173.0,54.25,4408
