,date,open,high,low,close,volume,average,barCount
0,2023-10-06,75.23,77.77,75.11,76.9,526288.0,76.754,3855
1,2023-10-09,77.14,79.38,76.9,79.21,577669.0,78.79,4014
2,2023-10-10,79.57,79.71,78.91,79.07,673346.0,79.278,4458
3,2023-10-11,78.85,79.79,78.34,79.76,627038.0,79.235,4940
4,2023-10-12,79.87,79.87,77.31,78.28,633737.0,78.296,3986
5,2023-10-13,78.67,79.19,77.64,78.29,726193.0,78.187,5376
6,2023-10-16,79.0,79.64,78.31,79.27,512965.0,79.319,3722
7,2023-10-17,78.7,81.39,78.69,79.88,1150741.0,80.35,6881
8,2023-10-18,79.67,80.04,78.41,78.52,1148593.0,79.118,6646
9,2023-10-19,78.37,78.83,77.15,77.34,679120.0,77.922,4299
10,2023-10-20,77.6,78.11,75.8,75.9,732446.0,76.431,4792
11,2023-10-23,75.81,76.16,74.95,74.97,642822.0,75.51,4038
12,2023-10-24,75.72,76.31,75.03,75.03,825596.0,75.456,4884
13,2023-10-25,75.16,75.52,74.17,74.36,1801515.0,74.719,9113
14,2023-10-26,74.89,77.26,74.89,76.02,1495045.0,76.304,10556
15,2023-10-27,75.8,76.56,74.55,75.25,1016461.0,75.318,5945
16,2023-10-30,75.72,76.26,75.46,75.8,762566.0,75.829,5100
17,2023-10-31,75.81,76.12,75.21,76.0,810445.0,75.892,5605
18,2023-11-01,76.3,76.3,75.4,75.99,686081.0,75.754,5117
19,2023-11-02,76.5,77.48,76.43,77.47,619212.0,77.177,4584
20,2023-11-03,78.12,78.68,77.49,77.52,860168.0,77.893,5977
21,2023-11-06,77.7,77.71,77.12,77.61,497321.0,77.405,3342
22,2023-11-07,77.36,77.44,76.77,77.04,431364.0,77.037,3140
23,2023-11-08,77.19,77.19,75.55,76.14,485756.0,76.088,3734
24,2023-11-09,76.59,76.59,74.44,74.88,1032695.0,75.249,7542
25,2023-11-10,75.43,76.15,75.02,76.12,692147.0,75.771,4853
26,2023-11-13,75.99,76.52,75.5,76.07,751986.0,75.995,5763
27,2023-11-14,76.84,77.65,76.75,77.13,945614.0,77.148,7754
28,2023-11-15,77.2,78.04,77.03,77.57,629185.0,77.579,4705
29,2023-11-16,77.46,77.75,76.56,76.79,684836.0,76.893,4622
30,2023-11-17,77.26,77.66,77.05,77.4,441816.0,77.38,3288
31,2023-11-20,77.36,78.08,77.12,77.98,636179.0,77.778,4759
32,2023-11-21,77.66,78.15,77.65,77.78,394677.0,77.895,3205
33,2023-11-22,77.84,78.28,77.36,78.01,507944.0,77.943,3589
34,2023-11-24,78.2,78.52,78.01,78.39,124848.0,78.247,978
35,2023-11-27,78.17,78.17,77.0,77.21,456147.0,77.37,3074
36,2023-11-28,77.4,77.48,76.67,76.67,270472.0,76.958,1839
37,2023-11-29,76.91,76.96,74.13,74.83,1551796.0,75.322,9288
38,2023-11-30,75.03,76.76,74.61,76.66,872853.0,76.215,6474
39,2023-12-01,76.65,78.39,76.42,77.88,720660.0,77.916,5044
40,2023-12-04,77.35,77.66,76.66,77.27,922833.0,77.082,6463
41,2023-12-05,77.04,77.12,76.31,76.38,590965.0,76.709,4102
42,2023-12-06,76.61,77.34,76.48,76.63,394228.0,76.792,2694
43,2023-12-07,76.68,76.83,75.73,76.25,544268.0,76.231,4198
44,2023-12-08,76.5,76.67,75.7,75.93,485193.0,76.081,3840
45,2023-12-11,76.01,77.16,75.81,77.14,588576.0,76.853,4237
46,2023-12-12,77.32,77.87,76.89,77.43,421418.0,77.39,2922
47,2023-12-13,77.35,79.0,77.01,78.78,1044351.0,78.063,6353
48,2023-12-14,79.2,79.79,78.74,79.62,669901.0,79.332,4743
49,2023-12-15,79.1,79.74,78.74,79.34,692950.0,79.273,4018
50,2023-12-18,79.59,79.93,78.98,79.6,447325.0,79.665,3484
51,2023-12-19,79.63,80.03,78.48,80.01,681340.0,79.7,4039
52,2023-12-20,79.93,80.97,79.24,79.28,899220.0,80.168,5818
53,2023-12-21,79.92,80.13,79.05,80.07,498471.0,79.787,3656
54,2023-12-22,80.16,81.18,80.04,80.43,372285.0,80.612,2560
55,2023-12-26,80.45,81.01,80.1,80.73,410507.0,80.705,2888
56,2023-12-27,80.5,80.99,80.38,80.71,335534.0,80.627,2515
57,2023-12-28,80.84,81.07,80.46,80.75,297399.0,80.749,2128
58,2023-12-29,80.59,80.95,80.29,80.42,252596.0,80.556,1911
59,2024-01-02,80.42,81.59,80.07,80.43,782377.0,80.88,5069
60,2024-01-03,79.99,80.38,78.44,78.5,708959.0,79.098,4778
61,2024-01-04,78.5,79.45,78.5,78.65,483522.0,78.971,3464
62,2024-01-05,78.47,79.07,78.05,78.6,529871.0,78.408,3247
63,2024-01-08,78.11,78.81,77.63,78.78,344042.0,78.333,2390
64,2024-01-09,78.28,78.29,77.75,78.24,261737.0,78.1,1902
65,2024-01-10,78.46,78.67,77.87,78.19,357372.0,78.148,2880
66,2024-01-11,78.09,78.2,77.12,78.08,468039.0,77.752,2950
67,2024-01-12,78.69,79.51,78.47,79.38,593989.0,79.122,3872
68,2024-01-16,79.0,79.14,77.09,77.55,760797.0,77.541,5115
69,2024-01-17,77.0,78.34,76.98,77.08,471727.0,77.371,2970
70,2024-01-18,77.49,78.42,77.14,78.34,498886.0,77.999,3688
71,2024-01-19,78.5,78.81,77.84,78.79,599448.0,78.467,4168
72,2024-01-22,79.0,79.77,78.91,79.28,561869.0,79.362,4447
73,2024-01-23,79.7,80.33,78.75,79.33,875250.0,79.193,6887
74,2024-01-24,82.52,86.35,82.11,85.55,2038062.0,85.156,12456
75,2024-01-25,86.32,86.54,84.98,86.16,1053910.0,85.929,6985
76,2024-01-26,86.49,86.65,84.51,84.83,785853.0,85.211,5532
77,2024-01-29,84.86,85.88,84.73,85.77,522962.0,85.405,3614
78,2024-01-30,85.68,86.55,85.55,86.0,576434.0,86.179,3540
79,2024-01-31,86.0,86.04,84.69,84.71,656023.0,85.239,4499
80,2024-02-01,85.02,85.93,84.28,85.81,569824.0,85.285,3747
81,2024-02-02,85.42,86.51,85.22,86.0,491412.0,85.921,3834
82,2024-02-05,85.47,85.76,84.61,85.27,473990.0,85.274,3415
83,2024-02-06,85.89,86.4,85.37,86.09,453060.0,86.126,3314
84,2024-02-07,86.55,87.97,86.23,87.71,962947.0,87.481,6533
85,2024-02-08,87.75,88.41,87.02,87.59,665759.0,87.646,5216
86,2024-02-09,87.58,88.0,86.99,87.2,530069.0,87.27,3967
87,2024-02-12,87.08,88.16,86.9,87.47,426331.0,87.597,3115
88,2024-02-13,86.8,86.98,85.06,86.0,624157.0,85.96,4829
89,2024-02-14,86.79,86.95,86.13,86.39,156739.0,86.521,1078
