,date,open,high,low,close,volume,average,barCount
0,2023-09-19,5.31,5.48,5.03,5.1,13133658.0,5.15834,29658
1,2023-09-20,5.05,5.24,5.04,5.07,7742839.0,5.151,19126
2,2023-09-21,4.85,5.105,4.8,4.93,8844022.0,4.99095,24799
3,2023-09-22,5.0,5.37,5.0,5.2,8626642.0,5.24328,22447
4,2023-09-25,5.28,5.42,5.18,5.4,12089539.0,5.34207,30505
5,2023-09-26,5.3,5.42,5.16,5.17,7899017.0,5.26414,18031
6,2023-09-27,5.24,5.33,5.1,5.28,8908480.0,5.21916,23861
7,2023-09-28,5.24,5.68,5.22,5.6,10970132.0,5.49282,30722
8,2023-09-29,5.71,5.77,5.11,5.15,18117301.0,5.24262,47667
9,2023-10-02,5.02,5.1192,4.815,4.85,13120086.0,4.89934,35267
10,2023-10-03,4.8,5.1499,4.75,4.88,9964535.0,4.97827,27094
11,2023-10-04,4.86,4.96,4.62,4.93,9148146.0,4.80821,26288
12,2023-10-05,4.92,5.18,4.875,5.18,6483067.0,5.10569,18623
13,2023-10-06,5.14,5.48,5.11,5.31,9104406.0,5.35701,24493
14,2023-10-09,5.29,5.36,5.0911,5.29,6089732.0,5.24199,16135
15,2023-10-10,5.34,5.54,5.3,5.39,6697542.0,5.39333,16540
16,2023-10-11,5.4,5.45,5.14,5.29,4277675.0,5.24477,12011
17,2023-10-12,5.24,5.305,5.025,5.11,5369755.0,5.14916,15492
18,2023-10-13,5.16,5.205,5.045,5.15,3481773.0,5.13371,11590
19,2023-10-16,5.23,5.38,5.0,5.02,5013068.0,5.0937,14152
20,2023-10-17,4.95,5.26,4.93,5.13,6586073.0,5.16741,19620
21,2023-10-18,5.16,5.34,5.09,5.27,5707816.0,5.23392,15296
22,2023-10-19,5.23,5.4899,5.17,5.34,6707659.0,5.36258,21032
23,2023-10-20,5.37,5.49,5.23,5.32,5383011.0,5.32587,15759
24,2023-10-23,5.3,5.64,5.165,5.61,11144189.0,5.51151,28316
25,2023-10-24,5.65,5.83,5.605,5.77,9282861.0,5.73283,25707
26,2023-10-25,5.76,5.97,5.69,5.75,7335164.0,5.83837,23396
27,2023-10-26,5.65,5.83,5.515,5.63,6166866.0,5.65693,18504
28,2023-10-27,5.64,5.685,5.47,5.5,5616952.0,5.54826,16590
29,2023-10-30,5.53,5.75,5.53,5.72,7097485.0,5.65924,17821
30,2023-10-31,5.78,5.98,5.7,5.95,8363479.0,5.89839,25113
31,2023-11-01,5.99,6.03,5.78,5.8,5838678.0,5.88404,17610
32,2023-11-02,5.86,5.96,5.81,5.91,5368293.0,5.87905,14965
33,2023-11-03,5.96,6.05,5.71,5.78,7072931.0,5.85863,21218
34,2023-11-06,5.8,5.8,5.51,5.52,5305701.0,5.58891,15080
35,2023-11-07,5.54,5.7445,5.44,5.66,8086246.0,5.64687,21895
36,2023-11-08,5.65,5.685,5.35,5.51,5292664.0,5.47924,14846
37,2023-11-09,5.54,5.75,5.5,5.56,3979519.0,5.62102,11798
38,2023-11-10,5.63,5.71,5.415,5.64,3596623.0,5.59681,11803
39,2023-11-13,5.64,6.03,5.59,5.97,7978686.0,5.91733,23293
40,2023-11-14,6.03,6.09,5.92,6.07,8233574.0,6.04481,27265
41,2023-11-15,6.1,6.13,5.86,5.91,5041740.0,5.9328,15491
42,2023-11-16,5.91,6.17,5.89,6.16,5785669.0,6.08382,16539
43,2023-11-17,6.2,6.43,6.2,6.36,7888668.0,6.34547,24873
44,2023-11-20,6.42,6.48,6.31,6.44,5516139.0,6.41573,16437
45,2023-11-21,6.46,6.54,6.26,6.39,5158310.0,6.40037,15804
46,2023-11-22,6.37,6.39,6.18,6.36,5319242.0,6.28927,16117
47,2023-11-24,6.33,6.54,6.33,6.44,2651249.0,6.47367,8415
48,2023-11-27,6.36,6.53,6.31,6.4,3455834.0,6.44587,11916
49,2023-11-28,6.39,6.4293,6.26,6.29,2877630.0,6.32374,8959
50,2023-11-29,6.32,6.34,6.14,6.17,4247151.0,6.21538,13342
51,2023-11-30,6.18,6.54,6.13,6.52,8754613.0,6.42234,25033
52,2023-12-01,6.55,6.65,6.47,6.54,8097665.0,6.57372,24532
53,2023-12-04,6.7,6.75,6.521,6.75,8232929.0,6.67099,22622
54,2023-12-05,6.71,6.79,6.64,6.65,4814737.0,6.7113,15966
55,2023-12-06,6.68,6.7999,6.45,6.5,5979507.0,6.58641,17663
56,2023-12-07,6.51,6.65,6.41,6.59,3649146.0,6.5419,12235
57,2023-12-08,6.62,6.795,6.6,6.74,4510696.0,6.72726,13018
58,2023-12-11,6.79,6.8,6.55,6.78,6259507.0,6.71034,22823
59,2023-12-12,6.8,6.86,6.6,6.81,6448013.0,6.76555,18104
60,2023-12-13,6.82,6.85,5.8304,6.34,22522596.0,6.19025,64338
61,2023-12-14,6.45,6.75,5.99,6.73,12378181.0,6.42792,40151
62,2023-12-15,6.75,6.75,6.34,6.34,9706674.0,6.49839,27578
63,2023-12-18,6.4,6.73,6.385,6.46,6905898.0,6.51982,23774
64,2023-12-19,6.46,6.48,6.07,6.21,9505483.0,6.21342,29735
65,2023-12-20,6.17,6.48,6.16,6.32,8221621.0,6.33665,26257
66,2023-12-21,6.29,6.6,6.24,6.59,6032649.0,6.45922,19512
67,2023-12-22,6.6,6.835,6.55,6.62,6777694.0,6.67206,19962
68,2023-12-26,6.58,6.76,6.54,6.74,2835345.0,6.68172,8786
69,2023-12-27,6.83,6.84,6.62,6.64,2914514.0,6.70039,9786
70,2023-12-28,6.61,6.61,6.37,6.44,5594512.0,6.46377,16448
71,2023-12-29,6.46,6.54,6.37,6.4,5596726.0,6.44976,16708
72,2024-01-02,6.41,6.5,6.29,6.44,4638274.0,6.37761,14777
73,2024-01-03,6.34,6.47,6.17,6.33,4924291.0,6.33551,17519
74,2024-01-04,6.38,6.55,6.37,6.45,3466893.0,6.48031,13318
75,2024-01-05,6.47,6.58,6.35,6.41,4146526.0,6.42123,16692
76,2024-01-08,6.38,6.45,6.28,6.45,2908150.0,6.37072,9586
77,2024-01-09,6.36,6.87,6.312,6.76,7681985.0,6.7002,27704
78,2024-01-10,6.9,7.08,6.791,6.86,7340436.0,6.91673,24645
79,2024-01-11,6.85,6.93,6.62,6.93,4979213.0,6.81455,16823
80,2024-01-12,7.2,7.825,7.15,7.77,27655920.0,7.65757,79254
81,2024-01-16,8.01,8.29,7.945,8.0,22466030.0,8.10229,70491
82,2024-01-17,7.98,8.07,7.66,8.0,9419648.0,7.8676,29319
83,2024-01-18,8.12,8.17,7.81,7.92,6270773.0,7.96769,20647
84,2024-01-19,7.97,8.0,7.53,7.74,6315388.0,7.69436,18866
85,2024-01-22,7.72,7.83,7.56,7.63,4516263.0,7.66748,14870
86,2024-01-23,7.55,7.98,7.42,7.92,6906420.0,7.81012,23868
87,2024-01-24,8.0,8.09,7.72,7.74,4927648.0,7.88287,17856
88,2024-01-25,7.82,7.88,7.26,7.4,8950041.0,7.41214,29707
89,2024-01-26,7.39,7.47,7.22,7.43,5327328.0,7.36558,21202
