,date,open,high,low,close,volume,average,barCount
0,2023-10-06,125.17,127.24,124.7,126.39,261688.0,126.303,1781
1,2023-10-09,126.29,130.43,125.17,130.19,393718.0,129.103,3391
2,2023-10-10,130.37,132.68,129.85,131.72,235495.0,131.738,2101
3,2023-10-11,131.11,131.17,125.73,127.02,346221.0,126.977,2793
4,2023-10-12,127.19,127.79,123.41,123.81,348909.0,124.499,2128
5,2023-10-13,123.86,125.95,123.26,124.03,235433.0,124.096,1915
6,2023-10-16,124.81,126.51,123.71,126.1,305235.0,125.793,2311
7,2023-10-17,125.69,128.31,125.69,127.33,164295.0,127.274,1305
8,2023-10-18,126.7,129.42,125.84,128.03,184274.0,128.225,1493
9,2023-10-19,128.13,129.86,127.07,127.66,219381.0,128.194,1848
10,2023-10-20,128.51,128.52,124.43,124.68,192772.0,126.08,1490
11,2023-10-23,125.32,126.73,124.3,124.98,206907.0,125.491,1732
12,2023-10-24,121.8,125.97,119.9,124.53,438388.0,124.054,3256
13,2023-10-25,123.9,125.43,122.06,122.21,513371.0,123.133,3749
14,2023-10-26,122.19,129.45,121.0,124.23,1050786.0,124.866,7158
15,2023-10-27,123.65,126.27,121.85,123.34,704530.0,124.23,5307
16,2023-10-30,124.32,125.1,121.55,123.83,365713.0,123.616,2505
17,2023-10-31,124.61,126.2,123.8,125.89,172372.0,125.235,1426
18,2023-11-01,124.69,126.48,124.28,125.39,317848.0,125.4,2435
19,2023-11-02,126.59,127.78,125.69,126.11,172048.0,126.389,1307
20,2023-11-03,126.85,129.58,126.85,128.25,301288.0,128.793,2441
21,2023-11-06,128.32,130.15,127.21,129.67,396522.0,129.454,2953
22,2023-11-07,129.03,130.57,128.09,130.13,237046.0,129.975,1915
23,2023-11-08,130.9,130.9,129.53,129.62,220652.0,129.888,1895
24,2023-11-09,130.18,131.2,128.25,128.26,275783.0,129.417,2194
25,2023-11-10,128.77,131.09,127.43,130.23,267978.0,129.832,2194
26,2023-11-13,130.41,131.13,129.34,129.49,218702.0,130.002,1721
27,2023-11-14,131.69,133.58,130.78,132.61,189262.0,132.381,1512
28,2023-11-15,132.54,134.44,132.38,132.9,304616.0,133.353,2501
29,2023-11-16,133.45,134.48,132.74,134.45,226202.0,133.902,1957
30,2023-11-17,135.67,138.2,135.35,135.96,372494.0,136.139,2976
31,2023-11-20,134.91,137.05,134.91,135.94,204488.0,136.247,1629
32,2023-11-21,136.08,137.56,135.83,136.04,200254.0,136.377,1445
33,2023-11-22,136.71,138.5,136.12,138.38,112862.0,137.818,922
34,2023-11-24,138.67,139.6,138.16,138.72,63908.0,138.749,560
35,2023-11-27,138.35,138.59,136.1,137.23,239169.0,137.206,1791
36,2023-11-28,137.57,137.57,134.94,136.08,156648.0,135.792,1246
37,2023-11-29,136.74,137.66,135.29,135.75,137985.0,136.137,1220
38,2023-11-30,135.3,137.54,134.69,137.48,109551.0,136.821,895
39,2023-12-01,137.52,138.97,137.32,137.7,197579.0,137.895,1529
40,2023-12-04,137.03,139.95,136.78,139.76,112766.0,139.259,984
41,2023-12-05,138.96,139.2,136.08,136.11,139917.0,136.881,1092
42,2023-12-06,136.73,137.8,134.97,135.22,128310.0,135.623,1024
43,2023-12-07,135.45,135.45,133.86,134.35,179794.0,134.467,1264
44,2023-12-08,134.58,137.77,133.7,137.45,162192.0,136.642,1253
45,2023-12-11,140.71,143.57,139.9,143.42,216160.0,142.217,1666
46,2023-12-12,144.16,145.13,142.68,144.93,155497.0,144.388,1196
47,2023-12-13,145.09,149.79,143.96,149.31,187433.0,147.903,1471
48,2023-12-14,150.0,152.81,149.92,151.47,353717.0,151.446,2562
49,2023-12-15,150.68,152.11,148.7,148.83,678972.0,150.634,3679
50,2023-12-18,149.5,150.22,147.33,149.95,270092.0,149.264,1452
51,2023-12-19,150.38,151.77,149.92,150.89,192613.0,150.736,1290
52,2023-12-20,151.34,151.57,148.0,148.08,214050.0,150.008,1687
53,2023-12-21,149.18,151.38,149.02,151.01,243176.0,150.154,1344
54,2023-12-22,151.5,153.58,151.25,153.08,194454.0,152.968,1265
55,2023-12-26,153.28,155.18,152.62,154.13,91582.0,154.098,671
56,2023-12-27,153.93,153.95,151.7,152.61,181795.0,152.349,1338
57,2023-12-28,152.46,153.76,151.91,152.68,146375.0,152.516,1128
58,2023-12-29,152.7,153.05,151.35,152.44,73023.0,152.259,608
59,2024-01-02,152.87,157.82,152.55,156.41,350526.0,156.039,2554
60,2024-01-03,155.49,156.11,152.39,153.04,180646.0,153.861,1445
61,2024-01-04,153.23,154.08,151.91,152.18,282588.0,152.923,2162
62,2024-01-05,152.21,155.22,152.21,153.7,256239.0,153.651,2087
63,2024-01-08,153.82,154.74,152.68,154.41,146786.0,153.821,1057
64,2024-01-09,153.47,155.57,153.26,154.28,161903.0,154.58,1132
65,2024-01-10,153.94,157.03,153.45,156.86,155999.0,156.251,1149
66,2024-01-11,156.41,158.75,156.04,158.39,194948.0,157.907,1371
67,2024-01-12,159.0,160.36,157.69,158.59,258587.0,158.621,1804
68,2024-01-16,157.4,158.14,155.82,157.95,139900.0,157.11,1162
69,2024-01-17,156.54,158.59,154.19,154.71,180013.0,155.605,1460
70,2024-01-18,155.22,156.88,154.18,156.39,217299.0,155.619,1696
71,2024-01-19,156.77,157.82,155.58,157.81,150211.0,157.157,863
72,2024-01-22,158.5,159.94,155.81,156.05,254313.0,156.653,1863
73,2024-01-23,155.92,156.67,152.7,153.81,374070.0,153.905,3002
74,2024-01-24,154.52,154.52,150.11,153.35,439827.0,152.158,3674
75,2024-01-25,154.48,157.26,153.69,156.98,287857.0,155.896,2201
76,2024-01-26,157.73,159.43,156.86,157.57,240557.0,157.943,1683
77,2024-01-29,156.81,158.12,155.53,156.85,237866.0,156.979,1627
78,2024-01-30,159.33,161.2,158.9,158.95,273953.0,159.994,1915
79,2024-01-31,159.81,161.32,158.52,158.81,159336.0,159.737,1301
80,2024-02-01,158.44,164.81,157.69,163.14,400472.0,163.017,2397
81,2024-02-02,162.09,164.32,162.0,162.73,207467.0,162.896,1593
82,2024-02-05,162.22,164.12,161.7,162.67,168882.0,162.905,1194
83,2024-02-06,162.18,163.5,161.23,162.15,132118.0,162.41,1092
84,2024-02-07,162.48,164.34,161.91,162.45,136100.0,162.573,817
85,2024-02-08,162.45,163.04,160.47,161.96,211246.0,161.617,1487
86,2024-02-09,161.99,162.8,161.27,162.38,134289.0,161.911,986
87,2024-02-12,161.88,164.96,160.75,164.55,164642.0,163.418,1034
88,2024-02-13,162.24,163.44,160.19,160.6,183400.0,161.407,1426
89,2024-02-14,161.8,161.8,160.23,161.26,17900.0,160.935,153
