,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.0,14.12,13.84,14.0,324765.0,13.982,1872
1,2023-09-26,13.9,14.03,13.79,13.91,283562.0,13.889,1402
2,2023-09-27,13.95,14.01,13.77,13.93,303150.0,13.913,1389
3,2023-09-28,14.0,14.11,13.85,13.97,449324.0,13.969,2296
4,2023-09-29,14.04,14.19,13.88,14.02,364804.0,13.996,1878
5,2023-10-02,13.98,14.02,13.65,13.75,300984.0,13.816,1724
6,2023-10-03,13.68,13.72,13.26,13.41,485176.0,13.435,2272
7,2023-10-04,13.5,13.56,13.31,13.51,716008.0,13.433,3574
8,2023-10-05,13.52,13.84,13.43,13.83,247717.0,13.686,1584
9,2023-10-06,13.75,14.07,13.58,14.0,283126.0,13.912,1755
10,2023-10-09,13.94,14.3,13.93,14.23,277641.0,14.171,1555
11,2023-10-10,14.19,14.36,14.13,14.13,163960.0,14.236,998
12,2023-10-11,14.25,14.33,14.09,14.21,187669.0,14.192,1203
13,2023-10-12,14.21,14.21,13.97,14.16,206821.0,14.101,1225
14,2023-10-13,14.25,14.25,14.08,14.12,153062.0,14.131,1052
15,2023-10-16,14.22,14.45,14.11,14.35,255031.0,14.329,1464
16,2023-10-17,14.26,14.61,14.26,14.49,168600.0,14.503,1039
17,2023-10-18,14.4,14.4,14.21,14.24,120086.0,14.289,746
18,2023-10-19,14.2,14.36,14.05,14.05,147084.0,14.195,811
19,2023-10-20,14.15,14.17,13.89,13.9,170376.0,14.036,963
20,2023-10-23,13.79,13.82,13.61,13.64,191037.0,13.713,1191
21,2023-10-24,13.76,13.83,13.65,13.81,193162.0,13.741,1096
22,2023-10-25,13.72,13.77,13.62,13.73,242400.0,13.713,1414
23,2023-10-26,13.79,13.89,13.66,13.8,243341.0,13.758,1342
24,2023-10-27,13.82,13.82,13.49,13.53,217533.0,13.633,1444
25,2023-10-30,13.66,13.77,13.48,13.67,133716.0,13.63,874
26,2023-10-31,13.67,13.82,13.63,13.81,107866.0,13.753,621
27,2023-11-01,13.77,13.91,13.68,13.88,151935.0,13.825,997
28,2023-11-02,14.12,14.52,14.12,14.52,306109.0,14.396,1699
29,2023-11-03,14.78,15.0,14.65,14.92,216892.0,14.903,1299
30,2023-11-06,14.86,14.9,14.64,14.82,231759.0,14.762,1300
31,2023-11-07,14.81,14.84,14.66,14.74,304927.0,14.768,1166
32,2023-11-08,14.84,14.86,14.55,14.72,107306.0,14.688,690
33,2023-11-09,14.45,14.77,14.36,14.49,215417.0,14.542,1385
34,2023-11-10,14.55,14.57,14.42,14.5,250256.0,14.512,1466
35,2023-11-13,14.42,14.44,14.07,14.1,187719.0,14.203,1084
36,2023-11-14,14.44,14.96,14.44,14.53,606098.0,14.591,2914
37,2023-11-15,14.47,14.73,14.29,14.34,1076084.0,14.473,3810
38,2023-11-16,14.37,14.44,14.22,14.23,305189.0,14.283,1722
39,2023-11-17,14.39,14.41,14.02,14.06,358774.0,14.129,2113
40,2023-11-20,14.01,14.3,13.98,14.22,205048.0,14.195,1451
41,2023-11-21,14.14,14.15,13.97,14.02,205244.0,14.044,1371
42,2023-11-22,14.17,14.25,14.0,14.07,181096.0,14.087,1129
43,2023-11-24,14.1,14.22,14.01,14.19,137007.0,14.149,990
44,2023-11-27,14.15,14.2,14.06,14.08,343120.0,14.115,1528
45,2023-11-28,14.03,14.28,13.91,14.19,195009.0,14.173,1075
46,2023-11-29,14.35,14.42,14.13,14.18,140061.0,14.231,828
47,2023-11-30,14.2,14.3,14.07,14.12,206301.0,14.146,1178
48,2023-12-01,14.13,14.61,14.12,14.55,277577.0,14.493,1683
49,2023-12-04,14.46,14.84,14.39,14.8,287837.0,14.7,1757
50,2023-12-05,14.77,14.82,14.67,14.75,204888.0,14.76,1332
51,2023-12-06,14.79,14.95,14.64,14.64,182960.0,14.782,1186
52,2023-12-07,14.62,14.87,14.51,14.78,168215.0,14.764,1093
53,2023-12-08,14.73,14.82,14.6,14.76,147581.0,14.705,966
54,2023-12-11,14.71,14.83,14.63,14.69,161943.0,14.737,1123
55,2023-12-12,14.72,14.83,14.6,14.72,158782.0,14.743,953
56,2023-12-13,14.76,15.19,14.6,15.07,919290.0,14.848,3930
57,2023-12-14,15.4,15.47,15.23,15.37,500790.0,15.344,2812
58,2023-12-15,15.37,15.44,14.92,15.1,558332.0,15.139,2189
59,2023-12-18,15.06,15.23,14.94,15.14,436054.0,15.14,2140
60,2023-12-19,15.22,15.33,15.14,15.22,396270.0,15.236,2312
61,2023-12-20,15.17,15.36,15.04,15.04,202120.0,15.223,1324
62,2023-12-21,15.16,15.21,14.92,15.0,198074.0,15.041,1172
63,2023-12-22,15.11,15.26,15.06,15.2,214837.0,15.195,1413
64,2023-12-26,15.2,15.42,15.13,15.38,174745.0,15.313,1073
65,2023-12-27,15.37,15.5,15.35,15.42,249441.0,15.427,1341
66,2023-12-28,15.37,15.56,15.35,15.56,182382.0,15.482,1110
67,2023-12-29,15.5,15.57,15.31,15.32,121347.0,15.401,773
68,2024-01-02,15.25,15.4,15.13,15.17,207106.0,15.257,1274
69,2024-01-03,15.04,15.11,14.81,14.82,177666.0,14.916,1155
70,2024-01-04,14.74,14.85,14.68,14.72,136434.0,14.773,745
71,2024-01-05,14.57,14.86,14.52,14.7,202973.0,14.719,1338
72,2024-01-08,14.69,15.22,14.69,15.21,277967.0,15.094,1549
73,2024-01-09,15.03,15.42,14.96,15.41,360220.0,15.28,2210
74,2024-01-10,15.44,15.86,15.4,15.8,483280.0,15.682,2476
75,2024-01-11,15.77,15.77,15.54,15.72,198244.0,15.701,1318
76,2024-01-12,15.94,16.0,15.7,15.8,202719.0,15.817,1140
77,2024-01-16,15.67,15.85,15.58,15.59,252953.0,15.682,1402
78,2024-01-17,15.34,15.47,14.96,15.15,254731.0,15.151,1401
79,2024-01-18,15.21,15.21,14.93,14.98,199329.0,15.004,1125
80,2024-01-19,15.07,15.64,14.93,15.64,446138.0,15.391,2748
81,2024-01-22,15.74,15.89,15.6,15.67,238073.0,15.702,1434
82,2024-01-23,15.79,15.79,15.44,15.54,221023.0,15.536,1260
83,2024-01-24,15.73,15.73,15.29,15.33,201663.0,15.389,1304
84,2024-01-25,15.52,15.54,15.34,15.5,279965.0,15.46,1707
85,2024-01-26,15.58,15.64,15.4,15.41,163538.0,15.443,1034
86,2024-01-29,15.39,15.61,15.34,15.59,268869.0,15.483,1494
87,2024-01-30,15.52,15.63,15.37,15.38,220264.0,15.483,1146
88,2024-01-31,15.41,15.5,14.95,15.11,287113.0,15.276,1655
89,2024-02-01,15.11,15.11,14.77,15.1,217665.0,15.003,1333
