,date,open,high,low,close,volume,average,barCount
0,2023-10-06,516.45,525.95,515.98,524.81,1614210.0,523.02,10667
1,2023-10-09,521.15,526.87,520.25,526.51,996268.0,525.252,6984
2,2023-10-10,526.5,528.14,523.08,524.24,932165.0,525.35,6888
3,2023-10-11,520.92,525.59,520.23,524.13,1153483.0,522.826,8547
4,2023-10-12,524.47,528.58,522.25,525.54,1059404.0,525.802,7546
5,2023-10-13,533.25,544.46,532.0,539.4,2805936.0,538.08,18982
6,2023-10-16,543.18,546.78,536.12,538.03,1954864.0,540.864,13526
7,2023-10-17,539.94,542.44,534.57,536.65,1290028.0,538.648,8994
8,2023-10-18,543.04,543.98,535.39,536.06,1060885.0,538.739,7338
9,2023-10-19,536.82,538.34,529.25,531.63,1069235.0,532.023,7614
10,2023-10-20,531.0,534.43,526.77,527.03,1282212.0,529.371,8232
11,2023-10-23,527.03,527.78,520.29,521.57,890333.0,523.484,6291
12,2023-10-24,522.86,530.67,522.07,525.0,801781.0,526.282,5873
13,2023-10-25,527.27,532.36,520.08,530.21,1106604.0,528.423,8260
14,2023-10-26,525.7,530.47,522.52,528.36,1141054.0,528.488,8527
15,2023-10-27,525.99,527.74,521.26,524.66,1169759.0,524.248,8602
16,2023-10-30,525.0,531.82,522.94,529.99,1170592.0,528.871,8380
17,2023-10-31,535.0,536.68,531.62,535.56,957956.0,534.755,7114
18,2023-11-01,529.98,535.83,526.8,531.6,1171574.0,532.108,8299
19,2023-11-02,532.0,536.84,526.94,536.13,1010240.0,533.465,7130
20,2023-11-03,534.57,535.98,528.8,530.9,1500916.0,531.564,11210
21,2023-11-06,531.63,536.02,530.05,533.46,1057258.0,532.996,7688
22,2023-11-07,535.36,539.65,531.52,537.83,1054306.0,537.342,6511
23,2023-11-08,540.0,541.4,534.14,536.73,756526.0,537.077,5370
24,2023-11-09,537.6,540.91,534.48,539.0,739714.0,538.373,4945
25,2023-11-10,542.68,542.68,536.02,541.21,902789.0,540.122,6632
26,2023-11-13,541.15,544.15,537.91,542.57,646877.0,541.483,4354
27,2023-11-14,539.03,542.68,536.51,540.46,1009300.0,539.847,6999
28,2023-11-15,540.05,540.46,531.7,538.41,1011179.0,537.34,7034
29,2023-11-16,538.41,544.86,537.47,539.82,928618.0,540.252,6553
30,2023-11-17,540.27,540.52,528.34,536.29,991564.0,535.412,5996
31,2023-11-20,533.61,536.34,531.8,535.1,910247.0,534.28,6425
32,2023-11-21,537.77,541.67,534.19,539.59,954561.0,538.444,5400
33,2023-11-22,542.97,544.4,540.25,543.76,953895.0,542.859,5825
34,2023-11-24,544.93,547.59,542.81,547.1,435019.0,546.148,2960
35,2023-11-27,547.1,550.89,541.53,543.59,991141.0,545.352,6436
36,2023-11-28,545.63,545.82,540.07,540.53,799958.0,542.163,5477
37,2023-11-29,530.0,541.86,528.65,534.98,1880586.0,535.958,12097
38,2023-11-30,535.79,553.94,534.01,552.97,1798926.0,548.167,11455
39,2023-12-01,550.42,554.7,545.16,547.16,1331069.0,549.212,9699
40,2023-12-04,548.26,551.87,543.03,548.28,1092912.0,546.802,7740
41,2023-12-05,549.1,552.53,545.35,550.26,1087641.0,549.751,7222
42,2023-12-06,547.56,551.88,547.1,549.53,955881.0,549.473,5350
43,2023-12-07,551.35,551.51,544.52,548.27,1006036.0,547.66,6633
44,2023-12-08,550.22,551.73,544.54,549.77,756396.0,548.027,5105
45,2023-12-11,549.76,550.0,539.06,543.68,1205205.0,542.488,8841
46,2023-12-12,545.8,547.49,542.65,545.72,830381.0,545.326,6083
47,2023-12-13,544.0,549.42,538.59,549.01,1188151.0,545.394,8190
48,2023-12-14,544.3,544.92,529.4,534.24,2311630.0,534.181,15971
49,2023-12-15,530.0,533.5,522.96,531.12,2770595.0,527.584,12018
50,2023-12-18,529.11,531.47,525.23,526.55,1522706.0,527.118,8244
51,2023-12-19,524.59,527.62,521.78,524.04,1446303.0,523.941,8803
52,2023-12-20,523.85,524.83,515.87,515.93,1541964.0,520.659,9624
53,2023-12-21,518.88,520.82,516.5,519.88,1096096.0,518.908,7236
54,2023-12-22,519.88,523.01,518.02,520.31,707367.0,520.129,4945
55,2023-12-26,519.88,521.48,517.97,520.03,515521.0,519.725,3361
56,2023-12-27,519.75,523.16,519.36,522.79,517681.0,521.592,3675
57,2023-12-28,523.47,527.87,522.94,524.9,747679.0,526.141,5348
58,2023-12-29,525.98,528.24,523.92,526.47,679107.0,526.312,4585
59,2024-01-02,526.84,539.66,526.67,539.34,1456472.0,535.725,10041
60,2024-01-03,543.04,546.79,539.48,542.03,1248657.0,542.413,8394
61,2024-01-04,545.0,549.0,543.0,545.42,1073130.0,545.888,7245
62,2024-01-05,547.0,547.0,533.72,537.38,1154422.0,537.684,7691
63,2024-01-08,539.4,540.25,528.0,536.52,1035348.0,535.358,6655
64,2024-01-09,538.0,539.61,532.33,538.37,1109631.0,536.43,7594
65,2024-01-10,538.1,541.2,536.15,537.64,853251.0,537.78,5916
66,2024-01-11,536.13,540.16,534.53,539.68,1120799.0,537.882,7546
67,2024-01-12,518.86,528.48,513.13,521.51,3125078.0,520.45,19469
68,2024-01-16,523.71,524.5,516.55,519.15,1482177.0,520.227,9683
69,2024-01-17,521.28,530.66,520.0,524.94,1817183.0,526.542,12537
70,2024-01-18,505.23,516.84,497.46,516.34,3743976.0,507.551,23233
71,2024-01-19,515.0,517.55,501.82,503.56,3333673.0,509.028,19149
72,2024-01-22,503.94,513.57,496.5,512.99,3169860.0,507.62,20736
73,2024-01-23,512.5,518.08,512.08,515.52,1230664.0,515.721,8738
74,2024-01-24,517.9,521.73,512.95,513.23,1241775.0,515.92,9080
75,2024-01-25,487.59,495.51,479.0,493.4,9683457.0,485.339,49159
76,2024-01-26,493.28,503.69,489.9,503.2,3665288.0,498.571,20847
77,2024-01-29,503.11,506.51,501.15,504.54,2001039.0,503.721,13090
78,2024-01-30,504.54,506.05,499.22,503.61,2502823.0,503.085,15380
79,2024-01-31,504.51,515.0,504.51,511.74,2381365.0,511.31,16181
80,2024-02-01,508.83,510.23,503.0,507.14,2056636.0,506.944,14181
81,2024-02-02,508.25,512.91,505.39,510.23,1817574.0,509.932,12396
82,2024-02-05,509.96,514.2,500.05,502.96,1729256.0,504.643,11679
83,2024-02-06,503.94,510.94,502.45,510.67,1398500.0,508.379,9306
84,2024-02-07,514.01,521.0,512.69,519.39,1949377.0,518.194,13369
85,2024-02-08,520.63,522.16,517.28,520.09,1787170.0,519.987,12732
86,2024-02-09,518.99,520.39,516.29,518.22,1162713.0,517.635,7562
87,2024-02-12,518.22,518.99,512.81,517.64,1214323.0,515.956,8461
88,2024-02-13,522.0,526.93,514.21,516.85,1427031.0,520.426,10543
89,2024-02-14,515.26,518.53,514.29,516.96,366706.0,515.964,2375
