,date,open,high,low,close,volume,average,barCount
0,2023-09-25,47.71,47.94,47.61,47.81,24926.0,47.786,180
1,2023-09-26,47.5,47.69,46.8,46.83,28690.0,47.194,202
2,2023-09-27,46.95,47.32,46.73,46.85,30058.0,46.975,221
3,2023-09-28,46.96,47.57,46.96,47.4,40228.0,47.328,299
4,2023-09-29,47.46,47.58,46.95,47.21,50759.0,47.223,309
5,2023-10-02,47.28,47.3,46.59,46.96,47626.0,46.914,295
6,2023-10-03,46.84,46.92,46.37,46.8,51228.0,46.758,330
7,2023-10-04,46.85,47.1,46.49,47.01,31731.0,46.864,231
8,2023-10-05,46.35,46.6,45.7,46.43,75330.0,46.221,587
9,2023-10-06,46.22,46.75,45.68,46.53,46264.0,46.411,303
10,2023-10-09,46.53,47.25,46.5,47.13,53920.0,46.967,245
11,2023-10-10,47.21,47.8,47.21,47.43,41530.0,47.595,276
12,2023-10-11,47.43,47.54,47.21,47.37,26618.0,47.374,186
13,2023-10-12,47.59,47.59,46.16,46.37,37267.0,46.597,246
14,2023-10-13,46.43,46.54,45.66,45.69,33405.0,45.863,243
15,2023-10-16,46.06,46.3,45.81,46.04,41175.0,45.972,288
16,2023-10-17,45.85,46.66,45.85,46.51,35632.0,46.483,241
17,2023-10-18,46.33,46.95,46.24,46.56,23215.0,46.631,178
18,2023-10-19,46.45,46.72,46.06,46.07,22643.0,46.295,131
19,2023-10-20,46.24,46.65,46.04,46.04,32455.0,46.254,167
20,2023-10-23,45.92,45.92,44.96,44.97,48690.0,45.316,320
21,2023-10-24,44.94,45.11,44.55,44.86,29590.0,44.85,234
22,2023-10-25,44.58,45.52,44.58,45.4,22580.0,45.198,174
23,2023-10-26,45.64,45.77,44.94,45.0,32245.0,45.229,215
24,2023-10-27,45.07,45.28,44.4,44.52,34791.0,44.623,255
25,2023-10-30,44.89,45.18,44.63,44.95,37246.0,44.932,290
26,2023-10-31,44.92,45.09,44.75,45.0,24782.0,44.935,180
27,2023-11-01,45.08,45.1,44.43,44.54,29240.0,44.658,190
28,2023-11-02,44.92,45.45,44.8,45.44,33712.0,45.155,251
29,2023-11-03,46.68,50.72,46.15,50.61,105340.0,49.313,688
30,2023-11-06,50.35,51.48,49.9,51.42,76287.0,50.97,497
31,2023-11-07,51.49,52.5,51.09,52.45,59263.0,52.142,402
32,2023-11-08,52.31,52.64,51.43,51.9,59537.0,51.839,428
33,2023-11-09,52.2,52.2,51.01,51.5,43871.0,51.504,330
34,2023-11-10,51.71,51.71,50.55,51.2,27383.0,51.144,201
35,2023-11-13,51.19,52.37,51.0,52.23,43019.0,51.913,300
36,2023-11-14,52.61,53.09,52.03,53.09,46802.0,52.719,314
37,2023-11-15,53.11,53.82,53.02,53.81,44619.0,53.425,289
38,2023-11-16,53.84,54.0,53.24,53.41,48794.0,53.522,372
39,2023-11-17,53.7,53.98,53.54,53.8,42898.0,53.752,246
40,2023-11-20,53.53,54.07,53.1,53.97,35587.0,53.722,225
