,date,open,high,low,close,volume,average,barCount
0,2023-10-06,5.03,5.08,4.83,4.93,826490.0,4.936,3743
1,2023-10-09,4.88,5.09,4.88,5.04,516319.0,5.008,2410
2,2023-10-10,5.05,5.2,5.05,5.15,823124.0,5.152,3931
3,2023-10-11,5.2,5.3,5.1,5.17,604472.0,5.186,2416
4,2023-10-12,5.17,5.3,5.1,5.18,1149668.0,5.198,5111
5,2023-10-13,5.24,5.25,5.07,5.09,744056.0,5.118,3471
6,2023-10-16,5.13,5.27,5.13,5.21,614286.0,5.206,2350
7,2023-10-17,5.17,5.3,5.17,5.23,516752.0,5.249,2627
8,2023-10-18,5.12,5.12,4.94,4.99,1399937.0,4.997,5057
9,2023-10-19,4.95,5.01,4.87,4.94,551686.0,4.952,2281
10,2023-10-20,4.91,5.0,4.88,4.96,748545.0,4.949,3451
11,2023-10-23,4.94,4.99,4.83,4.91,498221.0,4.924,2214
12,2023-10-24,4.93,5.0,4.85,4.9,506828.0,4.915,2333
13,2023-10-25,4.85,4.91,4.77,4.79,464357.0,4.816,2226
14,2023-10-26,4.77,4.98,4.77,4.89,462732.0,4.878,2586
15,2023-10-27,4.88,4.99,4.84,4.99,728390.0,4.923,2965
16,2023-10-30,4.99,5.05,4.85,4.87,585551.0,4.92,2376
17,2023-10-31,4.87,4.95,4.82,4.85,552015.0,4.87,2353
18,2023-11-01,4.88,4.98,4.81,4.94,626518.0,4.935,3070
19,2023-11-02,5.01,5.22,5.01,5.17,1077726.0,5.137,4221
20,2023-11-03,5.23,5.53,5.23,5.42,1380217.0,5.435,6303
21,2023-11-06,5.41,5.43,5.09,5.09,640035.0,5.169,2917
22,2023-11-07,5.05,5.13,5.01,5.08,950190.0,5.081,4201
23,2023-11-08,5.24,5.85,5.14,5.8,2822327.0,5.656,11288
24,2023-11-09,5.75,5.79,5.23,5.3,2209820.0,5.333,9621
25,2023-11-10,5.34,5.47,5.3,5.42,877219.0,5.384,4037
26,2023-11-13,5.37,5.51,5.35,5.43,1937988.0,5.426,5665
27,2023-11-14,5.59,5.79,5.53,5.76,1229412.0,5.695,4989
28,2023-11-15,5.68,5.81,5.63,5.71,724510.0,5.734,3491
29,2023-11-16,5.7,5.77,5.59,5.68,524731.0,5.667,2370
30,2023-11-17,5.74,5.74,5.64,5.7,529957.0,5.689,2306
31,2023-11-20,5.71,5.74,5.56,5.67,728187.0,5.665,3508
32,2023-11-21,5.62,5.74,5.62,5.63,526786.0,5.684,2532
33,2023-11-22,5.65,5.7,5.51,5.58,1482136.0,5.56,6528
34,2023-11-24,5.58,5.6,5.52,5.54,382665.0,5.56,1574
35,2023-11-27,5.5,5.58,5.47,5.56,837532.0,5.544,3564
36,2023-11-28,5.52,5.6,5.42,5.53,841493.0,5.536,3344
37,2023-11-29,5.61,5.68,5.53,5.55,604373.0,5.586,2600
38,2023-11-30,5.57,5.59,5.42,5.45,964188.0,5.466,3436
39,2023-12-01,5.46,5.74,5.43,5.74,808870.0,5.64,3187
40,2023-12-04,5.66,5.79,5.66,5.73,557401.0,5.74,2173
41,2023-12-05,5.73,5.73,5.59,5.67,684358.0,5.655,3033
42,2023-12-06,5.6,5.78,5.6,5.65,756766.0,5.708,3187
43,2023-12-07,5.66,5.77,5.6,5.76,553481.0,5.7,2469
44,2023-12-08,5.75,5.91,5.72,5.87,652310.0,5.867,2628
45,2023-12-11,5.87,5.95,5.84,5.94,525288.0,5.903,2132
46,2023-12-12,5.95,5.99,5.89,5.93,767115.0,5.932,3088
47,2023-12-13,5.98,6.4,5.92,6.37,1616337.0,6.213,5279
48,2023-12-14,6.46,6.98,6.46,6.91,2662016.0,6.809,8633
49,2023-12-15,6.9,7.14,6.87,7.12,2432805.0,7.031,7563
50,2023-12-18,7.11,7.26,6.93,7.21,1590150.0,7.126,5288
51,2023-12-19,7.17,7.39,6.99,7.32,1866633.0,7.303,6521
52,2023-12-20,7.31,7.43,7.09,7.1,1791817.0,7.264,6704
53,2023-12-21,7.22,7.24,7.04,7.16,1233342.0,7.136,4108
54,2023-12-22,7.2,7.22,7.07,7.12,1004597.0,7.116,4373
55,2023-12-26,7.1,7.21,7.04,7.19,622428.0,7.135,2754
56,2023-12-27,7.22,7.28,7.15,7.22,706449.0,7.217,2968
57,2023-12-28,7.17,7.24,7.12,7.22,691806.0,7.206,2960
58,2023-12-29,7.21,7.23,7.04,7.15,698586.0,7.144,2936
59,2024-01-02,7.03,7.18,6.84,7.02,1462090.0,7.0,6082
60,2024-01-03,6.88,6.88,6.5,6.65,1749840.0,6.629,5705
61,2024-01-04,6.65,6.71,6.54,6.56,828056.0,6.601,3752
62,2024-01-05,6.53,6.81,6.46,6.68,755932.0,6.684,3461
63,2024-01-08,6.7,6.83,6.68,6.72,748275.0,6.749,3310
64,2024-01-09,6.63,6.79,6.62,6.68,1227024.0,6.695,4627
65,2024-01-10,6.46,6.73,6.46,6.61,1214311.0,6.616,4804
66,2024-01-11,6.64,6.64,6.39,6.56,961115.0,6.514,3600
67,2024-01-12,6.59,6.66,6.55,6.59,906132.0,6.598,3363
68,2024-01-16,6.5,6.52,6.2,6.25,1792314.0,6.306,6354
69,2024-01-17,6.13,6.17,5.99,6.1,2318103.0,6.052,8710
70,2024-01-18,6.17,6.23,6.05,6.2,595682.0,6.141,2753
71,2024-01-19,6.2,6.35,6.13,6.35,641711.0,6.273,2844
72,2024-01-22,6.37,6.59,6.36,6.53,1056406.0,6.506,3452
73,2024-01-23,6.56,6.64,6.48,6.5,432106.0,6.516,1841
74,2024-01-24,6.59,6.64,6.37,6.41,851724.0,6.462,3227
75,2024-01-25,6.51,6.62,6.4,6.51,708145.0,6.496,2497
76,2024-01-26,6.57,6.63,6.54,6.56,650057.0,6.582,2807
77,2024-01-29,6.55,6.72,6.51,6.71,467276.0,6.643,2008
78,2024-01-30,6.68,6.87,6.63,6.82,1447127.0,6.777,5358
79,2024-01-31,6.8,6.94,6.69,6.7,1076093.0,6.808,4563
80,2024-02-01,6.72,7.08,6.72,7.06,1350745.0,6.918,5705
81,2024-02-02,7.0,7.09,6.83,7.07,970454.0,6.997,3929
82,2024-02-05,6.94,6.94,6.74,6.75,1031121.0,6.792,3625
83,2024-02-06,6.77,6.96,6.75,6.9,749079.0,6.892,3217
84,2024-02-07,6.9,6.98,6.81,6.89,823178.0,6.905,3515
85,2024-02-08,6.92,6.94,6.83,6.88,762859.0,6.895,3562
86,2024-02-09,6.91,7.12,6.85,7.06,851818.0,7.012,3438
87,2024-02-12,7.09,7.27,7.02,7.07,1387169.0,7.134,5428
88,2024-02-13,6.77,6.81,6.62,6.73,1140193.0,6.757,4882
89,2024-02-14,6.84,6.92,6.76,6.79,158948.0,6.819,747
