,date,open,high,low,close,volume,average,barCount
0,2023-10-06,199.48,210.3,199.48,209.6,488074.0,207.969,3612
1,2023-10-09,207.95,213.28,207.61,213.16,353714.0,211.668,2495
2,2023-10-10,212.87,215.28,211.69,213.88,307482.0,214.013,2247
3,2023-10-11,214.08,217.28,214.06,216.72,448744.0,216.112,3003
4,2023-10-12,217.51,218.64,214.15,215.97,586122.0,216.479,3665
5,2023-10-13,218.98,220.41,215.35,216.11,615330.0,216.899,4773
6,2023-10-16,214.07,214.41,208.72,211.96,650002.0,212.105,5040
7,2023-10-17,210.48,210.73,206.11,207.94,531751.0,208.193,3923
8,2023-10-18,207.46,207.76,204.75,206.2,415558.0,206.313,2909
9,2023-10-19,208.3,208.55,201.25,202.17,452149.0,203.534,3127
10,2023-10-20,201.8,202.1,198.08,200.39,360314.0,200.165,2761
11,2023-10-23,199.32,199.32,193.53,195.13,723683.0,195.317,4960
12,2023-10-24,195.98,197.44,193.39,197.19,391498.0,195.552,3038
13,2023-10-25,200.0,200.0,193.84,194.78,363168.0,195.682,2590
14,2023-10-26,193.69,194.83,187.85,190.14,376836.0,190.273,3033
15,2023-10-27,190.7,192.56,188.64,189.52,338616.0,190.664,2440
16,2023-10-30,190.77,191.89,186.78,190.28,287479.0,189.964,2209
17,2023-10-31,191.08,194.59,190.3,192.71,405012.0,193.282,2769
18,2023-11-01,192.0,192.46,185.7,187.05,962385.0,187.416,5985
19,2023-11-02,190.91,193.02,188.57,189.91,712377.0,189.969,5805
20,2023-11-03,191.0,195.58,191.0,194.59,460751.0,193.738,3175
21,2023-11-06,194.31,196.8,192.55,196.15,436561.0,195.621,3363
22,2023-11-07,193.37,196.06,190.38,194.12,482414.0,194.106,3647
23,2023-11-08,193.78,195.46,192.63,194.13,375387.0,194.153,3189
24,2023-11-09,178.39,178.39,165.33,166.6,3019656.0,170.404,18100
25,2023-11-10,167.44,167.65,162.72,165.08,2075259.0,164.775,13187
26,2023-11-13,166.73,166.77,162.85,166.25,831428.0,165.349,5710
27,2023-11-14,171.06,174.09,170.21,173.45,817499.0,172.894,6103
28,2023-11-15,174.25,181.88,174.25,176.78,937885.0,178.403,7133
29,2023-11-16,175.57,177.87,174.06,175.32,516874.0,175.927,3958
30,2023-11-17,175.85,177.85,175.3,176.54,783360.0,176.784,5715
31,2023-11-20,176.0,179.24,175.22,178.71,387366.0,178.415,2789
32,2023-11-21,178.6,179.59,176.36,176.4,502768.0,177.568,3524
33,2023-11-22,178.26,180.35,175.38,175.71,473011.0,176.661,3590
34,2023-11-24,176.01,177.19,175.19,176.57,200756.0,176.524,1594
35,2023-11-27,175.7,176.02,172.9,173.33,549023.0,174.15,4175
36,2023-11-28,172.29,174.94,171.43,174.76,532537.0,173.951,4224
37,2023-11-29,176.42,179.14,172.44,173.36,781068.0,174.751,6440
38,2023-11-30,174.95,175.19,171.01,174.31,737258.0,173.542,5201
39,2023-12-01,174.04,179.91,174.04,178.84,748221.0,178.312,5282
40,2023-12-04,176.98,180.48,176.19,179.01,687394.0,179.152,5064
41,2023-12-05,178.24,179.53,176.41,177.96,676856.0,178.024,4207
42,2023-12-06,179.0,181.27,178.0,178.39,1445214.0,179.372,9337
43,2023-12-07,173.33,174.7,165.12,172.95,1867317.0,172.264,12079
44,2023-12-08,174.85,175.41,171.56,172.71,789146.0,172.708,5351
45,2023-12-11,171.55,174.62,169.97,174.48,1050065.0,173.264,6853
46,2023-12-12,174.52,176.16,172.98,175.16,1113516.0,174.764,6702
47,2023-12-13,175.61,177.37,172.74,177.37,1140949.0,175.134,8127
48,2023-12-14,179.74,184.62,179.65,182.84,1374303.0,181.922,8288
49,2023-12-15,183.11,187.25,180.23,180.67,871235.0,181.533,6511
50,2023-12-18,180.8,183.39,180.5,182.05,612521.0,182.191,4783
51,2023-12-19,183.6,184.24,181.95,183.4,794891.0,183.097,5077
52,2023-12-20,182.9,186.55,181.13,182.98,873938.0,183.593,5796
53,2023-12-21,185.48,188.54,184.72,187.02,968780.0,186.789,6900
54,2023-12-22,188.25,191.15,187.46,190.85,774810.0,189.759,5537
55,2023-12-26,190.95,191.91,190.03,190.06,394786.0,191.084,2680
56,2023-12-27,190.96,191.7,188.76,190.85,575547.0,189.991,4470
57,2023-12-28,191.07,194.37,191.06,194.01,501749.0,193.477,3991
58,2023-12-29,193.87,196.27,192.05,192.52,489840.0,194.069,3915
59,2024-01-02,191.16,191.51,187.89,189.18,548191.0,189.546,3757
60,2024-01-03,187.0,188.41,185.05,185.19,692929.0,186.179,4850
61,2024-01-04,184.82,186.59,184.37,186.11,267374.0,185.631,1959
62,2024-01-05,184.14,187.35,184.14,185.69,299183.0,186.089,2164
63,2024-01-08,185.41,190.57,182.77,190.54,538353.0,188.365,3394
64,2024-01-09,189.41,193.28,189.41,193.0,452388.0,192.383,2902
65,2024-01-10,193.7,195.29,191.38,193.89,270038.0,193.269,2015
66,2024-01-11,195.0,204.61,194.05,204.23,1031479.0,201.132,7399
67,2024-01-12,203.8,209.44,203.28,208.69,1136149.0,208.013,7651
68,2024-01-16,206.92,208.69,204.65,207.22,588097.0,206.968,4697
69,2024-01-17,204.72,205.92,201.51,201.89,684761.0,203.143,5000
70,2024-01-18,202.0,204.61,200.73,204.5,349850.0,203.002,2378
71,2024-01-19,204.52,207.83,202.0,207.15,423259.0,205.86,2688
72,2024-01-22,208.94,210.69,207.53,209.38,510416.0,209.534,3725
73,2024-01-23,210.0,212.42,208.71,211.78,316287.0,210.73,2241
74,2024-01-24,212.02,214.15,208.95,209.09,391196.0,211.456,2830
75,2024-01-25,209.63,209.64,206.22,208.2,301427.0,207.4,1949
76,2024-01-26,208.2,209.88,207.78,208.73,191077.0,208.9,1337
77,2024-01-29,209.25,213.42,208.07,213.42,577748.0,210.934,3676
78,2024-01-30,213.95,214.54,210.51,210.91,414359.0,211.802,2853
79,2024-01-31,210.0,213.35,207.4,207.41,530509.0,209.687,3091
80,2024-02-01,203.71,206.45,198.22,203.99,1244585.0,203.76,7892
81,2024-02-02,204.0,208.07,202.34,206.8,453283.0,206.276,3021
82,2024-02-05,205.97,206.32,201.24,204.24,377937.0,203.289,2442
83,2024-02-06,206.26,210.41,205.7,209.33,354317.0,208.932,2457
84,2024-02-07,210.5,214.97,209.71,214.56,512146.0,213.544,3592
85,2024-02-08,214.0,217.69,213.6,215.39,361766.0,215.752,2648
86,2024-02-09,216.25,220.42,215.98,216.76,444304.0,217.542,3012
87,2024-02-12,216.78,220.19,216.78,218.46,379977.0,218.567,2823
88,2024-02-13,212.0,217.0,211.46,213.93,451462.0,213.976,3366
89,2024-02-14,215.89,220.63,215.12,219.63,122903.0,219.003,896
