,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.0,14.53,14.0,14.5,655509.0,14.33712,2902
1,2023-09-26,14.27,14.53,14.24,14.38,811246.0,14.3658,3766
2,2023-09-27,14.66,14.91,14.56,14.75,940302.0,14.77685,4143
3,2023-09-28,14.72,14.93,14.63,14.74,618331.0,14.78306,3138
4,2023-09-29,14.82,14.85,14.55,14.62,815276.0,14.6753,3833
5,2023-10-02,14.55,14.55,13.7,13.78,1442416.0,13.92708,5402
6,2023-10-03,13.66,13.77,13.46,13.74,809570.0,13.64482,3817
7,2023-10-04,13.48,13.5,12.715,12.87,1787322.0,12.97581,7647
8,2023-10-05,12.69,13.08,12.67,13.08,1088593.0,12.92381,4154
9,2023-10-06,13.15,13.47,12.87,13.39,1033389.0,13.23848,4367
10,2023-10-09,13.93,14.375,13.87,14.19,1566556.0,14.19713,5602
11,2023-10-10,14.3,14.46,14.1,14.44,1014317.0,14.31988,4678
12,2023-10-11,14.23,14.526,14.125,14.51,696319.0,14.36267,3458
13,2023-10-12,14.71,14.71,14.2079,14.52,1032695.0,14.43896,4613
14,2023-10-13,14.82,15.0385,14.59,14.93,1173873.0,14.87231,5762
15,2023-10-16,14.99,15.11,14.69,15.1,649162.0,14.97547,2754
16,2023-10-17,15.04,15.31,15.005,15.29,1001719.0,15.20502,4417
17,2023-10-18,15.42,15.47,15.08,15.16,592896.0,15.25959,2742
18,2023-10-19,14.96,15.561,14.86,15.42,735161.0,15.327,3698
19,2023-10-20,15.44,15.46,15.15,15.2,540046.0,15.25528,2924
20,2023-10-23,15.05,15.17,14.6331,14.67,1051655.0,14.85716,4340
21,2023-10-24,14.75,14.75,14.33,14.38,761842.0,14.46183,3724
22,2023-10-25,14.4,14.7,14.195,14.65,736192.0,14.49862,3256
23,2023-10-26,14.41,14.72,14.18,14.65,604851.0,14.55087,3261
24,2023-10-27,14.72,14.79,14.33,14.63,586665.0,14.54834,3075
25,2023-10-30,14.64,14.81,14.11,14.3,721984.0,14.28018,3443
26,2023-10-31,14.32,14.57,14.16,14.42,723198.0,14.38008,3688
27,2023-11-01,14.5,14.71,14.27,14.51,762706.0,14.52562,3835
28,2023-11-02,14.78,14.8,13.84,14.45,2153757.0,14.26961,10506
29,2023-11-03,14.5,14.765,14.055,14.08,1322880.0,14.26736,5747
30,2023-11-06,14.2,14.25,13.835,13.96,830191.0,14.03167,3896
31,2023-11-07,13.57,13.59,13.03,13.11,1537745.0,13.16875,7103
32,2023-11-08,13.03,13.07,12.635,12.76,885139.0,12.8097,3995
33,2023-11-09,12.9,13.21,12.77,12.78,648036.0,12.94868,3155
34,2023-11-10,12.96,13.19,12.8301,13.13,942961.0,13.03678,4013
35,2023-11-13,13.11,13.38,13.11,13.18,706879.0,13.23721,2918
36,2023-11-14,13.27,13.49,13.215,13.39,582688.0,13.35678,2595
37,2023-11-15,13.32,13.4499,13.04,13.07,490935.0,13.20739,2595
38,2023-11-16,12.84,12.91,12.43,12.75,1222200.0,12.64212,4749
39,2023-11-17,12.89,13.29,12.89,13.16,896284.0,13.13025,3486
40,2023-11-20,13.24,13.35,13.01,13.04,651577.0,13.13005,2909
41,2023-11-21,12.93,13.055,12.865,12.91,458650.0,12.95938,2084
42,2023-11-22,12.5,12.895,12.39,12.86,703914.0,12.714,3474
43,2023-11-24,12.87,13.08,12.86,12.9,207429.0,12.97457,1020
44,2023-11-27,12.77,12.77,12.5,12.58,707662.0,12.59527,3251
45,2023-11-28,12.68,12.74,12.47,12.53,810836.0,12.57958,3367
46,2023-11-29,12.71,12.77,12.435,12.66,783165.0,12.6379,3711
47,2023-11-30,12.83,13.03,12.4701,12.63,784784.0,12.70643,3638
48,2023-12-01,12.62,12.81,12.42,12.5,1363238.0,12.57138,6558
49,2023-12-04,12.34,12.41,12.0,12.01,1584415.0,12.18238,5564
50,2023-12-05,12.0,12.095,11.63,11.63,992253.0,11.79692,4237
51,2023-12-06,11.455,11.51,11.1,11.18,1381803.0,11.30919,5652
52,2023-12-07,11.31,11.36,11.07,11.14,1673650.0,11.17247,6555
53,2023-12-08,11.28,11.46,11.2,11.37,922291.0,11.33055,3406
54,2023-12-11,11.26,11.38,11.09,11.15,1165024.0,11.207,4225
55,2023-12-12,10.93,10.96,10.715,10.84,1619495.0,10.82132,6369
56,2023-12-13,11.06,11.62,10.9,11.61,2057988.0,11.3618,8543
57,2023-12-14,11.86,12.35,11.86,12.24,1685704.0,12.18504,6564
58,2023-12-15,12.26,12.27,11.975,12.06,1111160.0,12.08956,4482
59,2023-12-18,12.35,12.58,12.27,12.33,1269456.0,12.38796,5550
60,2023-12-19,12.35,12.75,12.3,12.74,1284423.0,12.56954,5612
61,2023-12-20,12.81,12.88,12.45,12.46,746444.0,12.68041,3185
62,2023-12-21,12.45,12.59,12.43,12.56,855955.0,12.52395,3616
63,2023-12-22,12.65,12.7219,12.48,12.52,1278847.0,12.55367,5944
64,2023-12-26,12.67,12.945,12.595,12.84,1168979.0,12.79528,4548
65,2023-12-27,12.82,12.8201,12.45,12.46,1019127.0,12.59505,4171
66,2023-12-28,12.38,12.425,12.15,12.15,753053.0,12.25958,3479
67,2023-12-29,12.17,12.23,12.06,12.06,811453.0,12.13328,3538
68,2024-01-02,12.15,12.31,11.94,12.01,1105431.0,12.12574,5170
69,2024-01-03,12.0,12.405,11.94,12.3,942125.0,12.2329,4614
70,2024-01-04,12.5,12.5,12.01,12.02,1217972.0,12.09971,5226
71,2024-01-05,12.17,12.33,12.058,12.19,603857.0,12.18128,3039
72,2024-01-08,11.88,11.96,11.7201,11.96,884991.0,11.87332,4236
73,2024-01-09,11.99,11.99,11.72,11.86,1261474.0,11.82597,5449
74,2024-01-10,11.88,11.89,11.63,11.7,981361.0,11.74536,5118
75,2024-01-11,11.75,11.84,11.52,11.81,956586.0,11.74257,4154
76,2024-01-12,12.05,12.15,11.8,11.85,1375551.0,11.86655,6118
77,2024-01-16,11.6,11.62,10.96,10.99,1855874.0,11.13672,7942
78,2024-01-17,10.84,11.02,10.73,10.73,1234634.0,10.85687,5778
79,2024-01-18,10.78,10.83,10.62,10.65,1239026.0,10.7039,5238
80,2024-01-19,10.65,10.71,10.525,10.7,972125.0,10.62339,4613
81,2024-01-22,10.58,10.84,10.42,10.72,1174156.0,10.72096,5412
82,2024-01-23,10.65,10.83,10.555,10.59,976150.0,10.67464,4391
83,2024-01-24,10.8,10.805,10.555,10.69,1062654.0,10.66904,4226
84,2024-01-25,10.82,10.93,10.68,10.93,809316.0,10.81886,3885
85,2024-01-26,10.9,11.02,10.71,10.96,736706.0,10.88019,2932
86,2024-01-29,10.9,10.93,10.675,10.83,929200.0,10.78286,3714
87,2024-01-30,10.68,11.15,10.68,11.13,1318550.0,11.01464,5120
88,2024-01-31,11.08,11.101,10.735,10.76,1010886.0,10.87842,4312
89,2024-02-01,10.84,10.9501,10.481,10.58,1257396.0,10.646,5717
