,date,open,high,low,close,volume,average,barCount
0,2023-10-06,7.95,8.21,7.76,8.09,2493131.0,8.04,11459
1,2023-10-09,8.07,8.27,8.02,8.24,1562622.0,8.208,8487
2,2023-10-10,8.26,8.51,8.26,8.4,1955098.0,8.426,9211
3,2023-10-11,8.41,8.59,8.3,8.37,1927109.0,8.411,7073
4,2023-10-12,8.36,8.36,8.16,8.28,1835149.0,8.248,9038
5,2023-10-13,8.41,8.42,8.06,8.12,1460886.0,8.167,8387
6,2023-10-16,8.24,8.4,8.24,8.34,2070782.0,8.336,9420
7,2023-10-17,8.2,8.67,8.2,8.54,1737895.0,8.531,9364
8,2023-10-18,8.43,8.47,8.17,8.21,3376827.0,8.255,11925
9,2023-10-19,8.25,8.4,8.05,8.09,2695838.0,8.209,13396
10,2023-10-20,8.09,8.09,7.76,7.82,2968962.0,7.882,13202
11,2023-10-23,7.75,8.03,7.71,7.84,3654380.0,7.915,15019
12,2023-10-24,7.92,7.94,7.67,7.79,2580433.0,7.776,11851
13,2023-10-25,7.7,7.77,7.56,7.75,3390026.0,7.669,17644
14,2023-10-26,7.83,8.34,7.67,7.88,5298656.0,7.942,28468
15,2023-10-27,7.87,7.97,7.64,7.76,2714839.0,7.766,14599
16,2023-10-30,7.73,7.92,7.65,7.71,2632833.0,7.737,11340
17,2023-10-31,7.73,7.83,7.63,7.78,1432181.0,7.757,8024
18,2023-11-01,7.87,7.87,7.57,7.75,1979263.0,7.702,11369
19,2023-11-02,7.88,8.26,7.88,8.26,3423672.0,8.164,17695
20,2023-11-03,8.53,8.76,8.5,8.57,2755430.0,8.612,13747
21,2023-11-06,8.55,8.61,8.27,8.35,1819712.0,8.376,8770
22,2023-11-07,8.28,8.35,8.18,8.19,2094666.0,8.228,9722
23,2023-11-08,8.25,8.25,7.93,7.97,1870467.0,8.011,9521
24,2023-11-09,8.03,8.03,7.8,7.85,2582899.0,7.882,11436
25,2023-11-10,7.9,7.98,7.75,7.9,1553818.0,7.902,6980
26,2023-11-13,7.83,7.91,7.76,7.83,1422236.0,7.837,7086
27,2023-11-14,8.16,8.74,8.12,8.66,3853717.0,8.609,18368
28,2023-11-15,8.66,8.97,8.62,8.85,3736545.0,8.838,15665
29,2023-11-16,8.82,8.87,8.48,8.64,2467712.0,8.619,11663
30,2023-11-17,8.77,8.98,8.66,8.93,2724792.0,8.901,11861
31,2023-11-20,8.88,8.99,8.75,8.96,2136236.0,8.935,10370
32,2023-11-21,8.9,8.92,8.59,8.62,1245637.0,8.686,6442
33,2023-11-22,8.75,8.83,8.6,8.75,1433462.0,8.726,7158
34,2023-11-24,8.76,8.84,8.68,8.77,542607.0,8.772,2800
35,2023-11-27,8.68,8.77,8.62,8.72,1746210.0,8.703,8398
36,2023-11-28,8.74,8.74,8.55,8.65,1111146.0,8.636,6104
37,2023-11-29,8.76,9.19,8.72,9.13,2747018.0,9.114,12230
38,2023-11-30,9.17,9.3,9.07,9.1,1907804.0,9.151,9160
39,2023-12-01,9.05,9.63,8.99,9.61,3762848.0,9.415,19030
40,2023-12-04,9.53,9.85,9.53,9.81,2826508.0,9.728,14723
41,2023-12-05,9.74,9.77,9.58,9.61,1678756.0,9.635,9108
42,2023-12-06,9.74,10.2,9.72,9.77,3426906.0,9.979,16959
43,2023-12-07,9.84,10.0,9.75,9.94,2556711.0,9.886,12486
