,date,open,high,low,close,volume,average,barCount
0,2023-10-06,20.86,21.11,19.6,20.9,3003912.0,20.587,15592
1,2023-10-09,20.34,21.57,20.34,21.53,1251383.0,21.217,7465
2,2023-10-10,21.62,22.03,21.52,21.68,1342738.0,21.72,8429
3,2023-10-11,21.93,22.55,21.82,22.27,1241294.0,22.194,7253
4,2023-10-12,22.08,22.08,21.23,21.56,1273918.0,21.565,7291
5,2023-10-13,21.77,21.84,20.88,21.1,1514359.0,21.075,8899
6,2023-10-16,21.43,22.17,21.11,21.89,1040116.0,21.9,6416
7,2023-10-17,21.58,22.8,21.54,22.4,1368125.0,22.453,8781
8,2023-10-18,21.96,22.08,21.58,21.66,1767731.0,21.736,10952
9,2023-10-19,21.28,21.47,19.98,20.12,2510576.0,20.726,16534
10,2023-10-20,20.14,20.56,19.97,20.3,1664602.0,20.261,11474
11,2023-10-23,20.08,20.46,19.84,19.85,1376699.0,20.187,8808
12,2023-10-24,20.13,20.51,20.03,20.27,1219642.0,20.251,8170
13,2023-10-25,20.03,20.12,19.16,19.21,2034864.0,19.366,12428
14,2023-10-26,19.46,19.93,19.22,19.7,1762177.0,19.602,10664
15,2023-10-27,20.04,20.1,19.45,19.53,1631418.0,19.717,10780
16,2023-10-30,20.03,20.58,19.54,20.12,2591472.0,20.087,15923
17,2023-10-31,19.96,20.47,18.36,19.2,4246259.0,19.144,22759
18,2023-11-01,19.3,19.68,18.9,19.42,3145018.0,19.185,17800
19,2023-11-02,20.2,22.17,20.19,22.01,4203411.0,21.537,23682
20,2023-11-03,22.4,23.71,22.35,23.06,2414487.0,23.229,15397
21,2023-11-06,22.79,23.01,22.51,22.88,1492692.0,22.83,9310
22,2023-11-07,22.65,22.85,21.63,21.7,1365970.0,21.999,8665
23,2023-11-08,21.86,21.92,21.32,21.52,830402.0,21.543,5210
24,2023-11-09,21.71,21.88,20.23,20.44,1461912.0,20.841,8652
25,2023-11-10,20.63,20.69,20.09,20.51,999266.0,20.395,6340
26,2023-11-13,20.13,20.51,19.63,19.95,1208614.0,19.943,7292
27,2023-11-14,21.54,23.46,21.54,23.05,3212902.0,22.815,17355
28,2023-11-15,22.86,24.18,22.86,23.33,1826311.0,23.615,9833
29,2023-11-16,23.24,23.25,22.17,22.32,1077475.0,22.49,7193
30,2023-11-17,22.7,22.86,22.28,22.59,1020034.0,22.514,6287
31,2023-11-20,22.5,22.61,22.11,22.47,916416.0,22.407,5540
32,2023-11-21,22.1,22.21,21.42,21.65,1054154.0,21.689,6758
33,2023-11-22,22.07,22.15,21.63,21.88,614431.0,21.842,4239
34,2023-11-24,21.96,22.07,21.45,21.79,403925.0,21.751,2477
35,2023-11-27,21.65,22.0,21.26,21.72,1538834.0,21.733,10966
36,2023-11-28,21.62,23.28,21.16,23.25,2391204.0,22.763,12817
37,2023-11-29,23.68,24.96,23.67,23.76,2189824.0,24.157,13687
38,2023-11-30,23.79,24.07,23.37,23.54,1126241.0,23.63,6490
39,2023-12-01,23.6,26.89,23.25,26.76,4218437.0,26.042,25693
40,2023-12-04,26.6,27.8,26.49,27.76,2658062.0,27.385,16285
41,2023-12-05,27.47,27.47,26.05,26.72,1904192.0,26.559,12259
42,2023-12-06,27.38,28.57,27.09,27.18,1630785.0,27.719,10219
43,2023-12-07,27.09,28.01,26.96,27.94,1267718.0,27.73,7511
44,2023-12-08,27.63,27.98,27.21,27.97,1755576.0,27.58,9581
45,2023-12-11,27.45,27.93,27.13,27.24,1950850.0,27.511,12423
46,2023-12-12,27.3,27.3,26.08,26.37,2033406.0,26.394,12394
47,2023-12-13,26.46,29.36,26.05,29.21,2514364.0,28.185,15185
48,2023-12-14,30.01,32.21,29.99,31.34,4259322.0,31.308,22594
49,2023-12-15,31.31,31.7,30.23,30.93,2886923.0,30.837,16913
50,2023-12-18,30.98,30.98,30.15,30.29,1305932.0,30.434,7331
51,2023-12-19,30.55,30.89,30.06,30.1,1129087.0,30.346,7239
52,2023-12-20,30.2,31.41,29.67,29.79,1811576.0,30.412,10825
53,2023-12-21,30.39,30.46,29.15,29.54,1467391.0,29.589,9411
54,2023-12-22,30.01,30.39,28.82,29.17,1907367.0,29.348,11424
55,2023-12-26,29.3,30.42,29.08,30.14,1237484.0,29.98,7003
56,2023-12-27,29.98,30.06,28.94,29.09,1626754.0,29.254,9969
57,2023-12-28,28.74,29.65,28.7,29.39,804538.0,29.303,5208
