,date,open,high,low,close,volume,average,barCount
0,2023-10-06,237.65,241.59,235.46,239.97,550721.0,238.251,3966
1,2023-10-09,240.16,244.62,240.03,244.07,388487.0,243.461,3007
2,2023-10-10,244.11,246.7,242.09,244.45,481331.0,245.197,3533
3,2023-10-11,245.03,245.65,243.44,245.51,292865.0,244.543,2268
4,2023-10-12,246.02,247.3,244.84,245.98,366733.0,246.119,3198
5,2023-10-13,246.85,249.0,246.78,247.6,456388.0,247.705,3935
6,2023-10-16,248.03,248.19,242.14,242.52,536208.0,243.875,3989
7,2023-10-17,242.06,243.03,238.81,239.91,534993.0,240.83,4200
8,2023-10-18,240.85,241.43,237.56,238.13,475369.0,238.983,3828
9,2023-10-19,238.21,239.53,233.92,234.45,404169.0,236.059,2999
10,2023-10-20,233.99,236.08,232.41,234.45,535965.0,234.325,3339
11,2023-10-23,235.11,235.98,230.59,230.87,556711.0,232.107,3796
12,2023-10-24,231.37,233.44,227.91,230.14,573135.0,229.48,4552
13,2023-10-25,229.91,232.09,227.54,228.13,365951.0,229.423,2625
14,2023-10-26,227.89,231.73,225.84,226.69,422546.0,228.364,3333
15,2023-10-27,226.37,226.37,222.3,223.85,451658.0,223.817,3260
16,2023-10-30,223.85,225.09,221.89,224.49,419039.0,224.212,2897
17,2023-10-31,225.27,227.91,223.96,227.36,622843.0,226.45,3696
18,2023-11-01,221.55,228.34,215.32,222.25,1004985.0,221.419,6487
19,2023-11-02,222.9,230.36,222.9,229.87,699606.0,227.365,4066
20,2023-11-03,230.02,233.71,228.15,230.62,451046.0,231.075,3548
21,2023-11-06,230.55,231.69,229.12,230.81,267759.0,230.443,2176
22,2023-11-07,231.68,234.38,230.31,233.19,324111.0,233.292,2726
23,2023-11-08,234.85,236.41,233.51,236.01,361280.0,235.4,2715
24,2023-11-09,235.65,236.89,234.03,235.5,275071.0,235.823,2342
25,2023-11-10,236.84,237.96,236.14,237.93,384900.0,237.074,2358
26,2023-11-13,237.66,239.38,237.59,238.51,227168.0,238.415,1867
27,2023-11-14,241.16,241.83,237.79,238.06,384347.0,239.244,3283
28,2023-11-15,239.36,240.8,237.66,237.79,366200.0,239.23,2824
29,2023-11-16,239.22,240.47,237.06,237.55,294954.0,238.169,2412
30,2023-11-17,239.17,239.27,236.57,237.12,261286.0,237.674,1809
31,2023-11-20,236.75,240.47,236.22,239.28,371657.0,238.39,2426
32,2023-11-21,240.26,241.71,238.77,239.79,548387.0,240.076,3307
33,2023-11-22,240.85,242.95,239.89,240.03,263510.0,241.224,2215
34,2023-11-24,240.3,241.69,239.51,239.54,114736.0,240.213,827
35,2023-11-27,240.34,242.61,240.09,241.0,205030.0,241.332,1646
36,2023-11-28,240.51,242.84,240.01,240.07,268409.0,241.128,1919
37,2023-11-29,240.0,241.1,237.4,238.26,251388.0,238.77,2141
38,2023-11-30,238.2,242.05,237.87,241.43,225410.0,240.402,1761
39,2023-12-01,240.61,243.54,239.77,242.73,266790.0,242.303,2058
40,2023-12-04,241.09,243.5,238.0,239.3,338076.0,239.614,2878
41,2023-12-05,238.8,240.42,236.17,238.6,280935.0,237.906,2120
42,2023-12-06,238.24,238.81,233.08,234.86,521249.0,234.81,4069
43,2023-12-07,234.88,235.38,233.02,233.75,213337.0,233.863,1750
44,2023-12-08,232.36,233.19,230.18,232.92,322533.0,232.059,2434
45,2023-12-11,234.95,240.8,232.92,240.11,357241.0,239.434,2827
46,2023-12-12,242.1,243.49,240.21,243.28,234946.0,242.275,1856
47,2023-12-13,244.15,248.08,243.08,247.23,441702.0,246.453,3363
48,2023-12-14,247.81,248.55,235.36,235.43,559047.0,239.594,3955
49,2023-12-15,236.03,237.28,233.06,235.0,1252962.0,234.648,5456
