,date,open,high,low,close,volume,average,barCount
0,2023-10-06,46.27,47.97,45.84,47.23,374190.0,47.041,1986
1,2023-10-09,49.3,51.53,48.96,51.12,459794.0,50.544,3019
2,2023-10-10,51.47,52.71,51.04,52.71,327912.0,52.05,1964
3,2023-10-11,52.11,54.09,51.97,53.93,481925.0,53.074,2672
4,2023-10-12,55.22,55.22,52.53,53.69,455252.0,53.662,3032
5,2023-10-13,55.28,55.72,54.26,55.47,469183.0,55.249,2955
6,2023-10-16,55.82,56.44,54.57,56.39,344034.0,55.807,2159
7,2023-10-17,55.89,57.06,55.82,56.28,334538.0,56.526,2127
8,2023-10-18,57.01,58.0,55.72,56.36,481664.0,56.591,3311
9,2023-10-19,56.0,56.69,54.81,56.57,453473.0,56.115,3063
10,2023-10-20,56.79,56.84,54.88,54.91,310605.0,55.56,2082
11,2023-10-23,54.03,54.95,52.66,52.73,344157.0,53.654,2179
12,2023-10-24,53.13,53.47,51.84,52.41,319173.0,52.557,2207
13,2023-10-25,52.29,53.33,51.61,52.36,235006.0,52.38,1500
14,2023-10-26,51.73,52.41,50.55,51.82,199429.0,51.706,1192
15,2023-10-27,52.22,52.45,50.58,51.53,166567.0,51.436,1030
16,2023-10-30,51.49,52.25,49.45,50.18,279340.0,50.237,1686
17,2023-10-31,50.57,51.23,49.69,50.04,315200.0,50.274,2330
18,2023-11-01,50.15,51.46,48.97,49.15,359309.0,49.916,2254
19,2023-11-02,49.27,51.22,48.78,50.95,566795.0,50.554,3792
20,2023-11-03,51.2,52.4,50.41,52.25,769989.0,51.373,5253
21,2023-11-06,52.65,53.33,49.79,50.49,394942.0,51.065,2543
22,2023-11-07,48.55,48.55,46.85,47.48,642770.0,47.307,4146
23,2023-11-08,46.99,47.56,44.94,45.01,538003.0,45.701,3148
24,2023-11-09,45.3,46.0,43.73,43.82,491354.0,44.652,3172
25,2023-11-10,44.32,45.48,43.3,45.46,431312.0,44.711,2717
26,2023-11-13,45.5,46.66,45.17,46.51,373287.0,46.205,2614
27,2023-11-14,47.2,47.5,46.38,47.08,295026.0,46.923,1626
28,2023-11-15,46.73,48.05,46.6,47.0,356564.0,47.523,2714
29,2023-11-16,45.89,46.21,44.02,44.95,444991.0,44.662,2448
30,2023-11-17,45.73,46.89,45.55,46.58,438144.0,46.322,2842
31,2023-11-20,47.48,47.75,46.4,46.68,400286.0,46.986,2813
32,2023-11-21,46.15,46.37,45.03,46.05,350195.0,45.868,2285
33,2023-11-22,44.47,46.24,44.0,46.24,493471.0,45.734,3015
34,2023-11-24,45.97,46.62,45.35,45.84,200689.0,45.877,1395
35,2023-11-27,45.44,46.15,44.99,45.36,407422.0,45.461,2976
36,2023-11-28,45.34,46.28,44.75,44.84,496196.0,45.287,3130
37,2023-11-29,45.33,45.54,44.35,44.65,608801.0,44.809,3918
38,2023-11-30,45.39,46.48,44.3,44.84,875668.0,45.557,4731
39,2023-12-01,44.62,46.2,44.6,45.08,460033.0,45.263,3338
40,2023-12-04,44.44,45.54,44.14,44.89,497303.0,44.893,3643
41,2023-12-05,45.33,45.33,43.45,43.77,393470.0,44.04,2801
42,2023-12-06,43.5,44.12,42.17,42.24,447870.0,42.696,2681
43,2023-12-07,42.67,42.99,41.71,42.38,302741.0,42.319,1978
44,2023-12-08,42.22,43.34,42.16,42.57,412057.0,42.655,2437
45,2023-12-11,42.21,42.92,41.95,42.62,312857.0,42.646,2179
46,2023-12-12,41.75,41.95,40.01,40.55,665060.0,40.811,3515
47,2023-12-13,40.58,42.3,40.0,42.26,349320.0,41.198,2429
48,2023-12-14,43.64,44.87,43.43,44.0,479619.0,44.112,3132
49,2023-12-15,44.5,44.52,42.5,44.49,788052.0,44.104,4790
50,2023-12-18,45.01,46.59,44.96,45.11,445847.0,45.517,2634
51,2023-12-19,45.1,45.62,44.63,45.39,281434.0,45.246,1875
52,2023-12-20,45.87,46.1,44.24,44.38,294012.0,45.162,1954
53,2023-12-21,44.55,45.11,44.19,45.03,284659.0,44.725,2046
54,2023-12-22,45.43,47.17,45.28,45.48,414580.0,46.065,2708
55,2023-12-26,46.05,48.26,46.05,47.73,593544.0,47.587,3786
56,2023-12-27,47.81,48.07,47.18,47.29,476344.0,47.523,3461
57,2023-12-28,47.04,47.55,46.26,46.49,698458.0,46.765,4879
58,2023-12-29,46.5,46.9,45.45,45.49,548945.0,45.916,3826
