,date,open,high,low,close,volume,average,barCount
0,2023-10-06,134.85,136.96,133.78,135.96,478576.0,135.773,4097
1,2023-10-09,135.74,138.09,135.68,137.58,295323.0,137.296,2071
2,2023-10-10,137.77,139.14,137.0,137.96,462341.0,138.002,3698
3,2023-10-11,138.03,138.91,136.99,138.03,257034.0,137.699,2218
4,2023-10-12,138.71,139.5,136.23,137.09,308162.0,137.53,2546
5,2023-10-13,137.52,138.68,137.2,138.41,466100.0,138.148,3431
6,2023-10-16,138.26,139.79,137.49,138.68,380515.0,138.683,2527
7,2023-10-17,138.3,140.27,138.22,139.17,292180.0,139.417,2421
8,2023-10-18,138.69,139.21,137.48,137.7,582492.0,138.186,3966
9,2023-10-19,137.12,138.23,135.63,136.03,367668.0,136.673,2997
10,2023-10-20,136.0,137.69,135.83,136.45,519861.0,136.788,4131
11,2023-10-23,136.61,137.54,135.44,135.52,351313.0,136.227,2504
12,2023-10-24,135.71,136.59,134.0,134.38,545690.0,134.93,4100
13,2023-10-25,133.04,138.21,133.04,137.41,911665.0,137.039,7109
14,2023-10-26,133.5,133.89,126.12,127.88,2559041.0,129.795,17270
15,2023-10-27,128.5,129.11,127.07,128.04,2145498.0,127.973,11890
16,2023-10-30,128.69,130.13,128.41,129.87,1376919.0,129.509,8218
17,2023-10-31,130.47,130.59,129.02,129.5,706639.0,129.892,4897
18,2023-11-01,129.64,130.14,128.69,129.75,702195.0,129.637,5282
19,2023-11-02,129.85,133.18,129.85,132.78,510054.0,132.245,3816
20,2023-11-03,133.09,133.79,132.19,133.23,1047026.0,132.658,6727
21,2023-11-06,133.2,134.0,132.2,132.42,492449.0,132.498,3790
22,2023-11-07,131.73,131.95,130.92,131.67,886826.0,131.534,6832
23,2023-11-08,132.18,132.18,130.91,131.31,605097.0,131.424,4282
24,2023-11-09,131.39,131.95,130.2,130.5,775138.0,131.036,5762
25,2023-11-10,130.99,131.31,129.42,130.54,726403.0,130.279,5641
26,2023-11-13,130.13,130.82,129.31,130.56,758300.0,130.268,5416
27,2023-11-14,131.29,135.86,131.21,134.99,909396.0,134.069,6985
28,2023-11-15,135.0,135.9,133.94,134.02,641278.0,134.313,4367
29,2023-11-16,134.17,135.34,133.15,135.01,562834.0,134.654,4279
30,2023-11-17,134.97,135.76,133.34,134.84,898738.0,134.188,5736
31,2023-11-20,134.5,135.07,134.16,134.34,477221.0,134.617,3257
32,2023-11-21,132.4,132.47,130.33,131.61,972659.0,131.285,6338
33,2023-11-22,132.18,133.3,131.67,133.3,631911.0,132.762,4540
34,2023-11-24,133.34,133.59,132.6,133.31,381859.0,133.078,2993
35,2023-11-27,134.18,134.42,133.04,133.67,616010.0,133.716,3983
36,2023-11-28,133.78,134.0,132.67,133.01,652862.0,133.218,4765
37,2023-11-29,133.19,133.69,132.15,132.64,354867.0,132.631,2750
38,2023-11-30,133.11,135.51,132.65,135.49,487760.0,134.817,3723
39,2023-12-01,135.52,139.76,135.5,139.63,1032505.0,138.646,7703
40,2023-12-04,139.53,140.68,138.94,139.84,780047.0,140.076,5627
