,date,open,high,low,close,volume,average,barCount
0,2023-10-06,154.29,155.99,152.9,155.44,678842.0,154.509,5018
1,2023-10-09,154.84,157.56,154.6,157.48,462728.0,156.718,3333
2,2023-10-10,157.34,157.87,155.45,156.85,589949.0,156.869,4456
3,2023-10-11,157.1,157.4,154.98,156.68,541699.0,155.972,3564
4,2023-10-12,156.84,157.7,154.18,155.05,512518.0,155.365,3763
5,2023-10-13,155.77,159.02,155.15,158.81,1585159.0,157.766,10615
6,2023-10-16,159.08,160.7,158.54,159.84,696107.0,159.637,5095
7,2023-10-17,159.55,160.85,159.2,160.06,468744.0,159.816,3515
8,2023-10-18,160.49,161.0,158.51,159.05,541373.0,159.574,4031
9,2023-10-19,158.31,159.62,156.8,157.07,561251.0,158.005,4206
10,2023-10-20,157.25,158.51,156.33,156.58,671315.0,157.126,4332
11,2023-10-23,158.21,159.11,155.88,155.96,920886.0,157.185,6600
12,2023-10-24,155.71,157.72,153.95,154.63,974525.0,155.157,6667
13,2023-10-25,157.05,165.02,156.36,164.07,2328737.0,162.777,16716
14,2023-10-26,164.12,164.84,162.58,162.82,986867.0,163.315,7144
15,2023-10-27,162.85,164.4,160.89,161.38,726155.0,162.242,5637
16,2023-10-30,161.9,163.55,161.6,162.75,941242.0,162.863,7097
17,2023-10-31,163.12,164.69,162.03,164.33,781704.0,163.675,5407
18,2023-11-01,164.07,164.77,163.03,164.04,542749.0,164.0,4075
19,2023-11-02,162.34,167.54,162.34,166.85,881539.0,166.226,6517
20,2023-11-03,168.07,169.12,167.31,168.12,840233.0,168.347,5794
21,2023-11-06,168.12,169.32,167.78,169.22,648778.0,168.693,4266
22,2023-11-07,169.58,169.9,168.74,169.36,684873.0,169.436,4937
23,2023-11-08,169.68,170.33,168.95,170.27,597467.0,169.81,4278
24,2023-11-09,170.13,170.36,169.43,170.06,619579.0,170.028,4077
25,2023-11-10,170.52,172.0,169.8,171.77,830406.0,170.943,6506
26,2023-11-13,171.77,172.57,171.21,171.69,744543.0,171.794,5733
