,date,open,high,low,close,volume,average,barCount
0,2023-10-06,150.69,156.74,149.57,155.43,611400.0,154.847,4821
1,2023-10-09,154.39,160.59,154.39,160.11,786320.0,158.478,5449
2,2023-10-10,158.7,161.08,158.07,159.25,585060.0,159.994,4727
3,2023-10-11,159.36,163.09,159.35,162.43,559003.0,161.763,4043
4,2023-10-12,162.07,163.33,161.25,162.57,675901.0,162.312,4912
5,2023-10-13,163.23,164.02,160.96,161.52,578641.0,162.431,4248
6,2023-10-16,162.71,164.47,161.48,162.28,437089.0,162.652,3657
7,2023-10-17,161.49,163.99,161.49,163.46,372071.0,162.941,2999
8,2023-10-18,163.04,163.04,158.72,160.33,596367.0,160.136,4208
9,2023-10-19,159.8,161.6,157.09,157.99,340673.0,159.094,2494
10,2023-10-20,157.79,158.44,156.13,157.13,311183.0,157.282,2421
11,2023-10-23,155.72,158.3,155.01,156.46,293910.0,156.881,2375
12,2023-10-24,157.0,157.96,154.44,156.31,294237.0,156.342,2437
13,2023-10-25,155.08,155.56,152.72,152.77,250383.0,153.745,2064
14,2023-10-26,151.7,152.48,143.12,144.23,873989.0,145.517,6579
15,2023-10-27,144.97,147.68,144.79,145.82,421471.0,146.167,3170
16,2023-10-30,146.39,148.8,144.98,148.22,296626.0,147.648,2184
17,2023-10-31,150.0,151.13,147.91,150.24,334506.0,149.876,2319
18,2023-11-01,150.19,150.43,147.35,149.54,535406.0,148.886,3471
19,2023-11-02,150.89,153.85,150.89,152.52,353129.0,152.579,2353
20,2023-11-03,153.8,157.53,153.8,154.31,379975.0,155.328,2956
21,2023-11-06,154.02,154.68,151.37,152.16,252632.0,152.71,2017
22,2023-11-07,153.24,153.89,149.83,149.93,343120.0,150.825,2550
23,2023-11-08,151.77,152.07,149.81,149.82,226021.0,150.62,1793
24,2023-11-09,150.0,150.0,146.95,147.52,344259.0,148.017,2726
25,2023-11-10,147.45,148.42,143.83,148.36,551596.0,146.608,4267
26,2023-11-13,147.5,149.67,146.81,148.76,397758.0,148.44,2934
27,2023-11-14,152.38,158.9,152.38,158.14,676923.0,157.169,5119
28,2023-11-15,158.53,163.12,158.35,161.39,1122657.0,161.754,7900
29,2023-11-16,161.13,172.37,160.97,171.45,1443505.0,169.32,9578
30,2023-11-17,173.14,181.46,171.94,178.85,1300414.0,178.452,8726
31,2023-11-20,178.29,182.0,176.47,181.95,571188.0,179.47,3647
32,2023-11-21,180.38,180.92,177.26,179.94,491532.0,178.743,3428
33,2023-11-22,181.0,182.69,179.74,181.47,215538.0,181.199,1578
34,2023-11-24,181.71,183.57,180.61,183.54,113041.0,182.483,798
35,2023-11-27,183.0,184.4,182.01,183.52,319309.0,183.439,2456
36,2023-11-28,183.67,184.95,181.74,184.02,302092.0,183.545,2048
37,2023-11-29,185.0,188.22,184.38,187.14,307351.0,187.211,2188
38,2023-11-30,188.39,188.59,185.1,187.54,305152.0,187.172,2039
39,2023-12-01,187.89,196.05,187.41,195.85,613270.0,193.117,4177
40,2023-12-04,194.54,199.32,194.52,198.3,635143.0,198.037,4651
41,2023-12-05,195.62,197.71,194.43,195.24,453948.0,195.367,3451
42,2023-12-06,196.19,197.5,193.0,193.89,428332.0,194.669,3334
43,2023-12-07,194.32,197.22,194.14,195.32,364006.0,196.16,2535
44,2023-12-08,192.79,195.79,192.46,194.81,357559.0,194.447,2823
45,2023-12-11,195.22,195.96,192.78,195.21,285626.0,194.582,2370
46,2023-12-12,194.25,194.97,189.25,189.61,629586.0,190.613,5267
47,2023-12-13,190.26,198.53,190.04,197.57,462952.0,195.481,3226
48,2023-12-14,200.24,209.27,198.85,206.46,1003208.0,206.379,6844
49,2023-12-15,205.69,206.03,202.03,204.76,460005.0,204.433,2847
50,2023-12-18,204.68,204.68,197.85,199.76,448703.0,200.24,3561
51,2023-12-19,201.53,205.58,199.3,203.21,408856.0,203.675,2917
52,2023-12-20,201.17,205.07,200.76,201.48,249456.0,202.767,1858
53,2023-12-21,204.15,204.92,202.35,204.76,193768.0,203.632,1508
54,2023-12-22,203.91,204.4,201.73,203.57,204140.0,203.567,1567
55,2023-12-26,203.85,204.18,202.1,202.77,177975.0,203.126,1573
56,2023-12-27,203.19,205.36,201.51,203.4,200498.0,203.634,1590
57,2023-12-28,202.5,203.87,201.48,203.31,173109.0,202.843,1373
58,2023-12-29,202.66,204.45,200.77,201.78,226069.0,201.75,1847
59,2024-01-02,201.0,204.6,199.6,203.31,313646.0,202.368,2326
60,2024-01-03,200.69,201.34,193.48,194.55,581454.0,195.51,4542
61,2024-01-04,194.28,197.02,193.07,195.19,278634.0,195.425,2124
62,2024-01-05,193.44,197.37,193.44,196.13,242422.0,196.06,1955
63,2024-01-08,197.05,200.91,196.86,199.41,201506.0,199.579,1618
64,2024-01-09,197.45,199.88,197.45,198.72,177729.0,198.594,1365
65,2024-01-10,199.45,201.16,197.9,198.08,221635.0,199.113,1790
66,2024-01-11,205.62,205.62,196.02,202.34,359207.0,200.558,2670
67,2024-01-12,202.57,204.48,200.65,203.96,200437.0,202.743,1548
68,2024-01-16,200.87,203.72,199.8,203.0,369616.0,202.403,2714
69,2024-01-17,200.81,204.66,200.45,203.92,326050.0,203.26,2444
70,2024-01-18,204.83,208.0,203.61,206.89,365592.0,206.274,2750
71,2024-01-19,207.15,207.3,201.62,206.42,401553.0,204.85,2925
72,2024-01-22,207.96,210.34,205.64,209.59,432184.0,208.222,2992
73,2024-01-23,210.73,211.96,208.1,210.59,332826.0,210.043,2312
74,2024-01-24,212.52,212.52,206.0,207.72,205490.0,208.65,1631
75,2024-01-25,208.59,210.9,207.73,210.14,274558.0,209.765,2100
76,2024-01-26,210.84,211.75,208.09,208.55,212465.0,209.135,1695
77,2024-01-29,208.06,208.51,197.08,201.49,754391.0,200.961,5177
