,date,open,high,low,close,volume,average,barCount
0,2023-10-06,108.75,111.7,108.2,110.91,940560.0,110.82,6012
1,2023-10-09,110.27,111.14,109.79,110.69,501278.0,110.556,3476
2,2023-10-10,110.66,112.95,110.22,112.19,549021.0,112.191,4255
3,2023-10-11,111.02,111.02,104.16,105.35,2780557.0,105.66,16132
4,2023-10-12,105.35,106.06,102.05,102.72,1901893.0,103.069,12896
5,2023-10-13,102.33,104.77,102.0,104.3,906494.0,104.022,6579
6,2023-10-16,105.08,105.43,103.68,105.05,771735.0,104.927,5612
7,2023-10-17,104.37,108.02,104.09,106.59,824181.0,106.711,5650
8,2023-10-18,106.59,108.1,105.59,106.19,832740.0,106.943,5963
9,2023-10-19,105.94,107.29,104.72,104.81,887063.0,105.824,6074
10,2023-10-20,104.06,105.62,103.7,104.56,743410.0,104.722,4152
11,2023-10-23,104.53,106.32,104.53,105.16,1000854.0,105.569,7167
12,2023-10-24,104.95,105.54,104.16,104.84,992333.0,104.778,5797
13,2023-10-25,104.7,104.75,103.22,103.64,1008937.0,103.842,6767
14,2023-10-26,103.52,104.38,102.98,103.12,617042.0,103.529,4407
15,2023-10-27,104.0,104.81,102.71,103.19,844385.0,103.14,6346
16,2023-10-30,103.76,104.1,102.33,103.41,637083.0,103.128,4589
17,2023-10-31,104.0,105.17,103.49,104.41,698064.0,104.575,4883
18,2023-11-01,104.52,105.21,103.51,105.07,846069.0,104.487,5984
19,2023-11-02,105.86,110.82,105.76,110.2,1901992.0,109.509,13553
20,2023-11-03,110.69,111.31,107.78,108.75,1294260.0,108.842,9437
21,2023-11-06,108.51,109.44,107.8,109.3,1377881.0,108.571,10054
22,2023-11-07,106.14,108.39,104.62,105.93,1704857.0,105.887,11413
23,2023-11-08,105.96,106.48,103.97,104.86,806322.0,104.846,5478
24,2023-11-09,105.35,105.59,103.43,104.12,990504.0,104.569,6103
25,2023-11-10,104.57,105.78,102.73,105.42,1253914.0,104.155,8209
26,2023-11-13,106.55,108.52,105.74,105.82,998282.0,106.664,6647
27,2023-11-14,107.44,109.16,107.12,108.07,1103038.0,108.232,7345
28,2023-11-15,108.07,111.05,108.07,110.5,2604027.0,110.367,10385
29,2023-11-16,110.76,111.99,110.33,111.55,1354718.0,111.23,6510
30,2023-11-17,112.35,112.66,111.32,111.67,1248511.0,111.681,6690
31,2023-11-20,111.62,112.65,111.34,112.5,591697.0,112.215,4307
32,2023-11-21,112.98,113.25,112.36,112.9,827688.0,112.782,5630
33,2023-11-22,113.82,114.8,113.2,113.83,698528.0,113.964,5123
34,2023-11-24,113.8,114.17,113.22,113.43,369726.0,113.543,2687
35,2023-11-27,113.08,114.03,112.84,113.84,743063.0,113.705,5746
36,2023-11-28,113.69,113.77,112.71,113.09,603934.0,113.106,4546
37,2023-11-29,113.5,114.96,113.27,113.92,700044.0,114.194,5155
38,2023-11-30,114.13,116.49,113.58,116.31,1071765.0,115.433,7125
39,2023-12-01,117.15,118.16,115.9,117.97,842688.0,117.416,5928
40,2023-12-04,117.3,118.87,116.64,116.89,907817.0,117.602,6552
41,2023-12-05,116.36,116.36,114.64,115.82,579858.0,115.648,4139
42,2023-12-06,116.36,116.59,115.29,116.13,726269.0,115.941,5054
43,2023-12-07,116.56,117.59,115.59,117.29,574211.0,116.931,4523
44,2023-12-08,117.31,117.76,116.76,117.3,706219.0,117.303,4389
45,2023-12-11,117.17,118.28,116.96,117.98,998290.0,117.589,5859
46,2023-12-12,118.31,118.31,116.95,117.45,1257558.0,117.302,6962
47,2023-12-13,117.34,118.15,116.5,117.9,1351541.0,117.47,9122
48,2023-12-14,119.09,120.34,118.43,118.53,1035086.0,119.026,7826
49,2023-12-15,118.0,118.98,117.3,118.69,2115142.0,118.056,11769
50,2023-12-18,118.84,119.31,118.21,118.8,1189727.0,118.787,7131
51,2023-12-19,118.71,120.02,118.51,119.97,871787.0,119.521,5399
52,2023-12-20,120.38,120.45,119.1,120.0,2186048.0,119.925,10451
53,2023-12-21,120.57,121.16,119.08,119.65,1160127.0,120.005,7833
54,2023-12-22,120.3,121.09,119.91,120.56,800149.0,120.434,5158
55,2023-12-26,120.22,121.92,120.2,121.42,1293757.0,121.261,7950
56,2023-12-27,121.2,121.79,120.8,121.13,512213.0,121.282,3306
57,2023-12-28,120.93,122.08,120.9,121.63,373416.0,121.719,2378
58,2023-12-29,121.46,122.4,121.24,121.7,403710.0,121.727,2896
59,2024-01-02,121.02,122.4,120.72,121.39,533904.0,121.556,3792
60,2024-01-03,120.93,121.3,119.72,120.47,1222828.0,120.551,8421
61,2024-01-04,119.9,120.88,119.4,120.2,1159324.0,120.215,8417
62,2024-01-05,119.72,121.3,119.69,119.98,768769.0,120.117,5376
63,2024-01-08,120.63,122.78,120.51,121.97,728366.0,121.894,4873
64,2024-01-09,121.63,124.27,120.66,121.87,1577366.0,122.348,10115
65,2024-01-10,121.7,123.67,121.62,123.23,1051063.0,122.954,6998
66,2024-01-11,123.23,124.81,122.18,122.38,991138.0,123.116,7690
