,date,open,high,low,close,volume,average,barCount
0,2023-10-06,63.84,65.81,63.68,65.48,1771411.0,65.199,12791
1,2023-10-09,63.99,66.13,63.53,66.1,1998429.0,65.015,12447
2,2023-10-10,66.07,67.89,65.85,67.28,1323641.0,67.279,9757
3,2023-10-11,67.43,67.59,64.78,64.82,1924437.0,65.556,13717
4,2023-10-12,64.93,64.93,62.67,63.47,1828683.0,63.523,12622
5,2023-10-13,63.38,63.7,62.14,62.75,1631148.0,62.656,12112
6,2023-10-16,63.06,63.59,62.44,63.18,1255761.0,63.246,9359
7,2023-10-17,62.68,64.92,62.65,63.84,1542663.0,64.079,10755
8,2023-10-18,63.32,63.81,62.79,62.97,1103670.0,63.107,7717
9,2023-10-19,63.43,63.97,62.12,62.36,902508.0,62.971,5968
10,2023-10-20,62.42,62.65,61.41,61.71,1307550.0,61.87,9996
11,2023-10-23,61.1,62.04,60.9,61.13,1188919.0,61.523,8589
12,2023-10-24,61.49,62.87,61.49,62.14,1186411.0,62.209,9085
13,2023-10-25,61.53,61.79,60.27,60.35,1896980.0,60.709,12614
14,2023-10-26,60.45,60.97,58.87,59.5,1481989.0,59.591,9229
15,2023-10-27,59.96,60.15,59.0,59.29,974966.0,59.38,7555
16,2023-10-30,59.85,60.52,59.0,60.0,1203261.0,59.901,8953
17,2023-10-31,60.22,60.43,59.49,59.98,905139.0,59.983,6987
18,2023-11-01,60.05,60.37,59.35,60.03,1060904.0,59.849,7544
19,2023-11-02,61.0,61.7,60.34,61.28,1764104.0,61.187,13033
20,2023-11-03,61.98,63.32,61.75,62.99,1927265.0,62.745,12967
21,2023-11-06,63.14,63.31,61.23,61.82,1383768.0,61.737,10334
22,2023-11-07,62.46,63.21,61.99,62.69,1348959.0,62.687,9791
23,2023-11-08,62.52,62.69,61.5,61.83,1005038.0,61.843,7302
24,2023-11-09,62.04,62.04,60.62,60.65,1483461.0,61.09,9547
25,2023-11-10,60.7,62.22,60.24,62.06,1441195.0,61.627,10599
26,2023-11-13,61.96,62.44,61.32,61.54,1337590.0,61.751,8907
27,2023-11-14,63.05,64.05,62.07,62.77,3126009.0,62.866,15435
28,2023-11-15,63.16,65.4,63.15,63.74,2225310.0,64.486,15421
29,2023-11-16,63.4,63.98,63.09,63.4,1404356.0,63.494,10009
30,2023-11-17,64.47,64.76,63.57,64.12,2356185.0,64.118,13243
31,2023-11-20,64.59,66.08,64.48,66.0,4907283.0,65.575,27668
32,2023-11-21,63.6,66.55,61.83,65.94,9551478.0,64.747,45989
33,2023-11-22,66.05,66.53,63.76,63.83,3246489.0,64.562,18966
34,2023-11-24,64.03,64.98,63.82,64.53,1117570.0,64.338,6256
35,2023-11-27,64.39,65.73,64.06,65.55,2263709.0,65.176,14370
36,2023-11-28,65.29,67.64,64.91,67.53,3568152.0,66.933,17826
37,2023-11-29,68.45,69.09,67.86,67.95,2114769.0,68.426,12661
38,2023-11-30,68.33,68.68,67.25,67.83,1522069.0,67.779,10069
39,2023-12-01,67.76,70.46,67.58,70.29,2893698.0,69.823,18160
40,2023-12-04,69.66,70.26,65.6,68.16,5787635.0,67.574,37086
41,2023-12-05,67.91,69.26,67.09,68.72,2492447.0,68.222,16158
42,2023-12-06,69.57,71.44,68.75,70.94,3127195.0,70.612,19281
43,2023-12-07,70.98,72.04,70.63,71.93,2483345.0,71.51,16486
44,2023-12-08,71.7,73.96,71.17,73.06,3077799.0,73.219,21043
45,2023-12-11,71.82,73.74,70.95,72.58,3375482.0,72.5,19568
46,2023-12-12,71.98,72.17,71.03,71.28,2462253.0,71.561,16768
47,2023-12-13,71.3,71.35,68.85,71.22,2766610.0,70.133,18314
48,2023-12-14,72.19,73.94,71.51,72.14,3774460.0,72.284,26774
49,2023-12-15,72.33,72.46,70.96,71.57,2992668.0,71.768,18787
50,2023-12-18,70.86,72.64,70.81,71.36,1424277.0,71.656,10021
51,2023-12-19,71.61,72.79,71.4,72.42,1934883.0,72.36,9954
52,2023-12-20,71.33,71.78,69.85,69.86,2048501.0,70.897,13518
53,2023-12-21,70.58,72.04,70.26,71.9,2654901.0,71.236,13685
54,2023-12-22,72.11,72.84,71.66,72.5,1517944.0,72.414,8807
55,2023-12-26,72.61,74.35,72.37,74.21,1865567.0,73.766,11272
56,2023-12-27,74.3,74.77,73.16,73.73,1427479.0,73.664,9177
57,2023-12-28,73.68,74.0,72.92,73.09,1523847.0,73.287,9279
58,2023-12-29,72.98,73.6,71.81,71.91,1482758.0,72.193,8752
59,2024-01-02,71.61,71.66,69.0,69.15,1528537.0,69.823,10157
60,2024-01-03,68.31,68.49,67.11,67.17,1459413.0,67.574,9836
61,2024-01-04,67.0,67.54,66.4,66.9,1170247.0,67.157,8149
62,2024-01-05,66.53,68.03,66.47,66.96,1057691.0,67.054,7310
63,2024-01-08,67.2,68.96,66.78,68.39,1471704.0,68.137,8488
64,2024-01-09,67.46,68.93,67.21,68.31,1267512.0,68.191,6778
65,2024-01-10,68.1,68.3,67.58,68.18,1154099.0,68.019,7101
66,2024-01-11,68.37,68.69,66.97,68.5,2215047.0,67.885,13442
67,2024-01-12,68.69,71.5,68.69,70.46,2598168.0,70.568,15380
68,2024-01-16,69.92,70.41,68.16,69.1,1687802.0,68.845,11575
69,2024-01-17,68.14,68.17,66.4,67.95,1377935.0,67.436,9431
70,2024-01-18,67.52,67.98,66.45,67.32,1608571.0,67.054,10683
71,2024-01-19,67.66,69.04,67.11,69.04,1000141.0,68.313,6661
72,2024-01-22,69.55,70.66,69.04,69.59,1428054.0,69.782,9862
73,2024-01-23,69.64,69.9,69.11,69.63,1478627.0,69.545,10544
74,2024-01-24,70.42,70.6,68.92,69.04,1111129.0,69.541,7562
75,2024-01-25,69.5,69.5,67.18,67.42,1626813.0,67.875,11845
76,2024-01-26,67.37,68.75,67.22,67.74,1303153.0,67.975,9460
77,2024-01-29,67.61,69.1,67.59,68.93,1609400.0,68.6,10197
78,2024-01-30,68.33,68.8,67.14,67.18,1359759.0,67.691,9666
79,2024-01-31,66.35,66.38,64.57,64.61,2503684.0,65.38,16274
